Format Version,1.0,
Take Name,230626_Group7_trial2_001,
Capture Frame Rate,500.00,
Export Frame Rate,100.00,
Capture Start Time,26 Jun 2023 16:59:34 +0900,
Total Frames In Take,339,
Total Exported Frames,1695,
Coordinate Space,Local,
Device Name,AMTI 10665M 10665M,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,5.00,

PlateLength,18.250000,
PlateWidth,20.000000,
PlateOrder,2,
PosX_PosY_X,-0.004609,
PosX_PosY_Y,0.004035,
PosX_PosY_Z,0.511387,
NegX_PosY_X,0.459686,
NegX_PosY_Y,0.001415,
NegX_PosY_Z,0.511726,
NegX_NegY_X,0.457833,
NegX_NegY_Y,0.008914,
NegX_NegY_Z,1.020820,
PosX_NegY_X,-0.006462,
PosX_NegY_Y,0.011534,
PosX_NegY_Z,1.020490,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
0,0.000000,0,5.868896,-62.968750,382.203125,4.333984,4.470215,0.235550,-0.011696,0.011339,0.000000,-0.434377
0,0.000000,1,5.790771,-62.525391,382.562500,4.241211,4.580322,0.252411,-0.011973,0.011086,0.000000,-0.431991
0,0.000000,2,5.960693,-62.705078,382.906250,4.248535,4.511230,0.149673,-0.011782,0.011095,0.000000,-0.522953
0,0.000000,3,6.317871,-62.794922,381.140625,4.289307,4.564453,0.270340,-0.011976,0.011254,0.000000,-0.410577
0,0.000000,4,6.144043,-62.181641,383.265625,4.528076,4.517578,0.200737,-0.011787,0.011814,0.000000,-0.459614
1,0.010000,5,5.875488,-62.445312,382.906250,4.463379,4.545410,0.200928,-0.011871,0.011657,0.000000,-0.471861
1,0.010000,6,5.535645,-62.080078,381.859375,4.373291,4.835449,0.167358,-0.012663,0.011453,0.000000,-0.555358
1,0.010000,7,6.060303,-62.527344,381.859375,4.428955,4.742920,0.218628,-0.012421,0.011598,0.000000,-0.487709
1,0.010000,8,5.893799,-62.085938,383.250000,4.448975,5.001221,0.200676,-0.013049,0.011609,0.000000,-0.541096
1,0.010000,9,5.711182,-62.169922,383.625000,4.227295,4.880127,0.132141,-0.012721,0.011019,0.000000,-0.595794
2,0.020000,10,5.884766,-62.441406,382.906250,4.463135,4.925293,0.166718,-0.012863,0.011656,0.000000,-0.567869
