Format Version,1.0,
Take Name,230626_Group7_trial2_003,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,26 Jun 2023 16:59:43 +0900,
Total Frames In Take,387,
Total Exported Frames,3870,
Coordinate Space,Local,
Device Name,Trigno 2883,
Device Type,0,
Device Channel Count,2,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Sensor 1,Sensor 2
0,0.000000,0,0.004372,-0.076005
0,0.000000,1,-0.022203,-0.064981
0,0.000000,2,-0.025618,-0.043061
0,0.000000,3,0.000507,-0.037725
0,0.000000,4,0.034979,-0.038266
0,0.000000,5,0.048369,-0.036771
0,0.000000,6,0.022694,-0.033755
0,0.000000,7,-0.003140,-0.063272
0,0.000000,8,-0.012358,-0.109189
0,0.000000,9,-0.008658,-0.146500
1,0.010000,10,-0.014753,-0.096275
1,0.010000,11,-0.018225,-0.058793
1,0.010000,12,-0.010210,-0.119579
1,0.010000,13,-0.000272,-0.081142
1,0.010000,14,0.004820,0.005613
1,0.010000,15,0.007033,-0.032374
1,0.010000,16,0.006783,-0.112944
1,0.010000,17,0.004723,-0.177731
1,0.010000,18,0.000674,-0.112726
1,0.010000,19,-0.001816,0.045985
2,0.020000,20,0.004463,0.058915
2,0.020000,21,0.010856,0.032555
2,0.020000,22,0.007044,0.051003
2,0.020000,23,-0.003656,0.028653
2,0.020000,24,-0.002732,-0.011759
2,0.020000,25,-0.000312,-0.033958
2,0.020000,26,-0.004375,-0.039328
2,0.020000,27,-0.000040,-0.049776
2,0.020000,28,0.014096,-0.073892
2,0.020000,29,0.010642,-0.070765
3,0.030000,30,0.015477,-0.082841
3,0.030000,31,0.025811,-0.098946
3,0.030000,32,0.006467,-0.091510
3,0.030000,33,-0.009771,-0.083111
3,0.030000,34,-0.008722,-0.059385
3,0.030000,35,-0.009641,-0.058413
3,0.030000,36,0.005371,-0.063763
3,0.030000,37,0.018500,-0.081670
3,0.030000,38,0.017985,-0.074661
3,0.030000,39,0.009051,-0.060635
4,0.040000,40,0.006991,-0.051851
4,0.040000,41,0.010850,-0.066360
4,0.040000,42,-0.003170,-0.086228
4,0.040000,43,-0.032851,-0.097223
4,0.040000,44,-0.007012,-0.101935
4,0.040000,45,0.033844,-0.117466
