Format Version,1.0,
Take Name,230626_Group7_trial3_000,
Capture Frame Rate,500.00,
Export Frame Rate,100.00,
Capture Start Time,26 Jun 2023 17:00:19 +0900,
Total Frames In Take,370,
Total Exported Frames,1850,
Coordinate Space,Local,
Device Name,AMTI 10666M 10666M,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,5.00,

PlateLength,18.250000,
PlateWidth,20.000000,
PlateOrder,1,
PosX_PosY_X,0.464372,
PosX_PosY_Y,-0.000098,
PosX_PosY_Z,0.507728,
NegX_PosY_X,-0.000027,
NegX_PosY_Y,-0.000085,
NegX_PosY_Z,0.509102,
NegX_NegY_X,-0.000016,
NegX_NegY_Y,-0.000056,
NegX_NegY_Z,0.000019,
PosX_NegY_X,0.464383,
PosX_NegY_Y,-0.000070,
PosX_NegY_Z,-0.001356,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
0,0.000000,0,3.736084,-62.833984,387.531250,9.714844,-16.324219,-1.629517,0.042124,0.025069,0.000000,1.110936
0,0.000000,1,4.008057,-62.751953,388.250000,9.674316,-16.238281,-1.717163,0.041824,0.024918,0.000000,1.007265
0,0.000000,2,3.119385,-62.738281,388.234375,10.008301,-16.349609,-1.612793,0.042113,0.025779,0.000000,1.109702
0,0.000000,3,3.645264,-62.925781,386.109375,10.052734,-16.288086,-1.680786,0.042185,0.026036,0.000000,1.068656
0,0.000000,4,3.302368,-62.386719,387.171875,10.031250,-16.303711,-1.595642,0.042110,0.025909,0.000000,1.117008
1,0.010000,5,3.479370,-62.658203,388.234375,10.004883,-16.296875,-1.612793,0.041977,0.025770,0.000000,1.107068
1,0.010000,6,3.656372,-62.662109,388.578125,10.005371,-16.251953,-1.734558,0.041824,0.025749,0.000000,0.980379
1,0.010000,7,3.380859,-62.917969,387.515625,10.052734,-16.452148,-1.596130,0.042455,0.025941,0.000000,1.162785
1,0.010000,8,3.651611,-62.662109,388.578125,9.930176,-16.404297,-1.630676,0.042216,0.025555,0.000000,1.107998
1,0.010000,9,3.384766,-62.744141,388.578125,10.045898,-16.453125,-1.562744,0.042342,0.025853,0.000000,1.181467
2,0.020000,10,3.823486,-62.664062,387.890625,9.930176,-16.549805,-1.596741,0.042666,0.025600,0.000000,1.174777
2,0.020000,11,3.830811,-62.484375,386.828125,10.034668,-16.396484,-1.577881,0.042387,0.025941,0.000000,1.170019
2,0.020000,12,3.652710,-62.570312,387.515625,9.963867,-16.442383,-1.665588,0.042430,0.025712,0.000000,1.083204
2,0.020000,13,3.554077,-63.097656,387.171875,10.022461,-16.446289,-1.630249,0.042478,0.025886,0.000000,1.142016
