Format Version,1.0,
Take Name,230626_Group7_trial2_002,
Capture Frame Rate,500.00,
Export Frame Rate,100.00,
Capture Start Time,26 Jun 2023 16:59:38 +0900,
Total Frames In Take,397,
Total Exported Frames,1985,
Coordinate Space,Local,
Device Name,AMTI 10666M 10666M,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,5.00,

PlateLength,18.250000,
PlateWidth,20.000000,
PlateOrder,1,
PosX_PosY_X,0.464372,
PosX_PosY_Y,-0.000098,
PosX_PosY_Z,0.507728,
NegX_PosY_X,-0.000027,
NegX_PosY_Y,-0.000085,
NegX_PosY_Z,0.509102,
NegX_NegY_X,-0.000016,
NegX_NegY_Y,-0.000056,
NegX_NegY_Z,0.000019,
PosX_NegY_X,0.464383,
PosX_NegY_Y,-0.000070,
PosX_NegY_Z,-0.001356,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
0,0.000000,0,7.885986,-65.949219,314.250000,8.004395,-18.045898,-3.551025,0.057425,0.025471,0.000000,0.436995
0,0.000000,1,7.259033,-66.109375,312.125000,8.307617,-18.143555,-3.547363,0.058129,0.026616,0.000000,0.488726
0,0.000000,2,7.624268,-66.121094,312.125000,8.234863,-17.710938,-3.478516,0.056743,0.026383,0.000000,0.474553
0,0.000000,3,7.886475,-66.128906,314.250000,8.197266,-17.968750,-3.515991,0.057180,0.026085,0.000000,0.470966
0,0.000000,4,7.713867,-65.675781,313.531250,8.104492,-18.051758,-3.567139,0.057576,0.025849,0.000000,0.413582
1,0.010000,5,7.793945,-66.125000,313.531250,8.307617,-18.084961,-3.566650,0.057682,0.026497,0.000000,0.454056
1,0.010000,6,7.968750,-66.039062,312.468750,8.229492,-18.267578,-3.442749,0.058462,0.026337,0.000000,0.627906
1,0.010000,7,7.617188,-66.121094,313.531250,8.270996,-18.016602,-3.549438,0.057463,0.026380,0.000000,0.451053
1,0.010000,8,7.526123,-66.027344,312.468750,8.303711,-18.209961,-3.494629,0.058278,0.026575,0.000000,0.553296
1,0.010000,9,7.794189,-65.953125,316.000000,8.226074,-18.277344,-3.551758,0.057840,0.026032,0.000000,0.465848
