Format Version,1.0,
Take Name,230626_Group7_trial1_004,
Capture Frame Rate,500.00,
Export Frame Rate,100.00,
Capture Start Time,26 Jun 2023 16:58:56 +0900,
Total Frames In Take,341,
Total Exported Frames,1705,
Coordinate Space,Local,
Device Name,AMTI 10666M 10666M,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,5.00,

PlateLength,18.250000,
PlateWidth,20.000000,
PlateOrder,1,
PosX_PosY_X,0.464372,
PosX_PosY_Y,-0.000098,
PosX_PosY_Z,0.507728,
NegX_PosY_X,-0.000027,
NegX_PosY_Y,-0.000085,
NegX_PosY_Z,0.509102,
NegX_NegY_X,-0.000016,
NegX_NegY_Y,-0.000056,
NegX_NegY_Z,0.000019,
PosX_NegY_X,0.464383,
PosX_NegY_Y,-0.000070,
PosX_NegY_Z,-0.001356,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
0,0.000000,0,4.417236,-58.628906,378.046875,22.767578,-20.338867,1.346375,0.053800,0.060224,0.000000,4.766626
0,0.000000,1,5.114014,-59.005859,380.843750,22.819336,-20.540039,1.273682,0.053933,0.059918,0.000000,4.762465
0,0.000000,2,5.188232,-59.275391,381.562500,23.012695,-20.914062,1.152039,0.054812,0.060312,0.000000,4.713930
0,0.000000,3,5.181396,-58.916016,380.500000,23.106445,-21.406250,1.258362,0.056258,0.060727,0.000000,4.887519
0,0.000000,4,6.061279,-58.941406,383.312500,23.400391,-21.789062,1.168518,0.056844,0.061048,0.000000,4.889019
1,0.010000,5,5.797852,-58.576172,382.593750,23.273438,-21.913086,1.238464,0.057275,0.060831,0.000000,4.946106
1,0.010000,6,6.672852,-58.330078,380.484375,23.706055,-22.175781,1.153503,0.058283,0.062305,0.000000,4.968908
1,0.010000,7,6.590332,-57.804688,382.578125,24.090820,-22.406250,1.012756,0.058566,0.062970,0.000000,4.813164
1,0.010000,8,7.122803,-57.466797,382.218750,24.224609,-22.612305,1.082336,0.059161,0.063379,0.000000,4.933545
1,0.010000,9,7.030273,-57.197266,382.937500,24.396484,-22.955078,1.012390,0.059945,0.063709,0.000000,4.888954
2,0.020000,10,7.549561,-57.291016,381.156250,24.397461,-23.311523,1.066528,0.061160,0.064009,0.000000,5.053689
2,0.020000,11,7.733154,-56.943359,381.500000,24.419922,-23.379883,0.962524,0.061284,0.064010,0.000000,4.947248
2,0.020000,12,8.168457,-56.332031,381.500000,24.650391,-24.005859,0.928040,0.062925,0.064614,0.000000,5.000529
2,0.020000,13,7.986572,-56.597656,382.906250,25.068359,-24.124023,0.788208,0.063002,0.065469,0.000000,4.876868
2,0.020000,14,8.600098,-56.167969,380.796875,25.047852,-24.399414,0.772278,0.064075,0.065777,0.000000,4.936912
3,0.030000,15,9.047363,-55.910156,380.062500,25.186523,-24.343750,0.755951,0.064052,0.066269,0.000000,4.936670
3,0.030000,16,9.138672,-55.021484,379.718750,25.256836,-24.981445,0.618378,0.065789,0.066515,0.000000,4.846060
3,0.030000,17,10.105957,-55.312500,380.062500,25.268555,-24.907227,0.600708,0.065535,0.066485,0.000000,4.897485
3,0.030000,18,10.280762,-54.960938,379.718750,25.400391,-25.200195,0.601135,0.066365,0.066893,0.000000,4.936348
3,0.030000,19,10.903809,-54.970703,380.406250,25.401367,-25.176758,0.496674,0.066184,0.066774,0.000000,4.862942
4,0.040000,20,11.150391,-55.242188,379.359375,25.667969,-25.618164,0.394577,0.067530,0.067661,0.000000,4.879536
4,0.040000,21,11.336914,-54.269531,377.578125,25.625977,-25.759766,0.448669,0.068224,0.067869,0.000000,4.920565
4,0.040000,22,11.953125,-54.640625,379.703125,25.677734,-25.735352,0.204262,0.067778,0.067626,0.000000,4.716010
4,0.040000,23,11.844727,-54.716797,376.531250,25.864258,-26.076172,0.207016,0.069254,0.068691,0.000000,4.809980
4,0.040000,24,12.208984,-54.912109,379.687500,25.910156,-25.837891,0.116554,0.068050,0.068241,0.000000,4.686496
5,0.050000,25,11.842285,-54.623047,375.828125,25.784180,-26.265625,0.036831,0.069887,0.068606,0.000000,4.666746
5,0.050000,26,12.544434,-54.910156,376.890625,25.907227,-26.311523,-0.068115,0.069812,0.068739,0.000000,4.627574
5,0.050000,27,12.811035,-54.830078,377.578125,26.052734,-26.262695,-0.053238,0.069556,0.069000,0.000000,4.644461
5,0.050000,28,12.888672,-55.177734,376.890625,25.955078,-26.412109,-0.119892,0.070079,0.068866,0.000000,4.634503
5,0.050000,29,13.070312,-54.917969,376.171875,26.092773,-26.403320,-0.206680,0.070190,0.069364,0.000000,4.554594
6,0.060000,30,12.884766,-55.357422,376.531250,26.111328,-26.446289,-0.258957,0.070237,0.069347,0.000000,4.522683
6,0.060000,31,12.710449,-54.996094,376.890625,26.055664,-26.719727,-0.275208,0.070895,0.069133,0.000000,4.502464
6,0.060000,32,12.792969,-55.087891,375.484375,26.135742,-26.601562,-0.378372,0.070846,0.069605,0.000000,4.414844
6,0.060000,33,12.346680,-55.076172,374.421875,26.132812,-26.807617,-0.394180,0.071597,0.069795,0.000000,4.410866
6,0.060000,34,12.345703,-55.343750,375.484375,26.256836,-26.581055,-0.361099,0.070791,0.069928,0.000000,4.420070
7,0.070000,35,11.816895,-55.503906,373.359375,26.002930,-26.526367,-0.358261,0.071048,0.069646,0.000000,4.408168
7,0.070000,36,11.181641,-56.117188,375.843750,26.176758,-26.776367,-0.482391,0.071243,0.069648,0.000000,4.294363
7,0.070000,37,11.368164,-55.589844,375.843750,26.193359,-26.733398,-0.482422,0.071129,0.069692,0.000000,4.263901
7,0.070000,38,11.467773,-55.498047,374.421875,26.041992,-26.388672,-0.445984,0.070478,0.069553,0.000000,4.263045
7,0.070000,39,11.367676,-56.115234,372.640625,26.180664,-26.238281,-0.479599,0.070412,0.070257,0.000000,4.270234
8,0.080000,40,11.378906,-55.759766,373.375000,25.907227,-26.127930,-0.496338,0.069978,0.069387,0.000000,4.195147
8,0.080000,41,10.573730,-56.720703,373.718750,25.949219,-25.818359,-0.411972,0.069085,0.069435,0.000000,4.240767
8,0.080000,42,10.408203,-56.365234,374.062500,25.934570,-25.636719,-0.395187,0.068536,0.069332,0.000000,4.189479
8,0.080000,43,9.608398,-56.796875,375.125000,25.882812,-25.403320,-0.413849,0.067720,0.068998,0.000000,4.095372
8,0.080000,44,8.920410,-56.251953,375.125000,25.750977,-25.130859,-0.344818,0.066993,0.068646,0.000000,4.036039
9,0.090000,45,7.590576,-56.669922,375.843750,25.843750,-25.108398,-0.276718,0.066805,0.068762,0.000000,4.031082
9,0.090000,46,7.955566,-56.324219,375.843750,25.608398,-24.869141,-0.121403,0.066169,0.068136,0.000000,4.147563
9,0.090000,47,6.718018,-57.019531,378.671875,25.825195,-24.502930,-0.159706,0.064708,0.068199,0.000000,3.988053
9,0.090000,48,6.364258,-56.998047,375.515625,25.418945,-24.328125,-0.051933,0.064786,0.067691,0.000000,4.071539
9,0.090000,49,6.107666,-57.267578,375.515625,25.508789,-23.845703,-0.001611,0.063501,0.067930,0.000000,4.049844
10,0.100000,50,5.498291,-56.990234,376.203125,25.422852,-23.646484,0.031984,0.062856,0.067577,0.000000,3.985702
10,0.100000,51,4.975586,-57.064453,376.921875,25.279297,-23.477539,0.048286,0.062288,0.067068,0.000000,3.936393
10,0.100000,52,5.083740,-56.982422,377.984375,25.022461,-22.834961,0.031059,0.060412,0.066200,0.000000,3.810049
10,0.100000,53,4.458496,-57.056641,377.625000,25.135742,-22.895508,0.238632,0.060630,0.066563,0.000000,3.994762
10,0.100000,54,4.552734,-57.238281,378.343750,24.923828,-22.554688,0.254929,0.059614,0.065876,0.000000,3.967063
11,0.110000,55,4.109131,-57.320312,378.343750,25.037109,-22.571289,0.237694,0.059658,0.066176,0.000000,3.929242
11,0.110000,56,4.553223,-57.955078,380.078125,24.880859,-22.101562,0.304413,0.058150,0.065462,0.000000,3.972569
11,0.110000,57,3.500488,-57.759766,379.734375,25.023438,-21.913086,0.424271,0.057706,0.065897,0.000000,3.988048
11,0.110000,58,3.962036,-57.238281,381.140625,24.854492,-21.709961,0.405090,0.056961,0.065211,0.000000,3.923779
11,0.110000,59,3.689453,-58.126953,382.546875,25.004883,-21.343750,0.455002,0.055794,0.065364,0.000000,3.939285
12,0.120000,60,3.160522,-58.025391,381.500000,24.706055,-21.251953,0.439102,0.055706,0.064760,0.000000,3.876158
12,0.120000,61,2.901123,-58.462891,383.625000,24.502930,-21.076172,0.593048,0.054940,0.063872,0.000000,3.990272
12,0.120000,62,3.427979,-58.917969,384.343750,24.594727,-20.903320,0.504364,0.054387,0.063991,0.000000,3.928100
12,0.120000,63,2.632080,-59.167969,384.687500,24.385742,-20.556641,0.572937,0.053437,0.063391,0.000000,3.901561
12,0.120000,64,2.636353,-59.433594,385.046875,24.211914,-20.333008,0.608398,0.052807,0.062880,0.000000,3.912658
13,0.130000,65,2.014893,-60.044922,384.703125,24.278320,-19.861328,0.590210,0.051628,0.063109,0.000000,3.817348
13,0.130000,66,2.028198,-59.873047,386.453125,24.161133,-19.673828,0.656860,0.050909,0.062520,0.000000,3.831723
13,0.130000,67,0.972046,-60.121094,387.531250,24.135742,-19.450195,0.656830,0.050190,0.062281,0.000000,3.734848
13,0.130000,68,1.406250,-61.011719,386.828125,24.137695,-18.934570,0.762543,0.048948,0.062399,0.000000,3.836710
13,0.130000,69,1.133484,-61.351562,384.718750,23.966797,-18.828125,0.713593,0.048940,0.062297,0.000000,3.786749
14,0.140000,70,0.434921,-61.427734,387.187500,23.820312,-18.479492,0.782043,0.047728,0.061521,0.000000,3.740593
14,0.140000,71,0.696228,-61.871094,386.859375,23.467773,-18.277344,0.956177,0.047245,0.060662,0.000000,3.921539
14,0.140000,72,0.890808,-61.695312,387.921875,23.201172,-17.928711,0.888519,0.046217,0.059809,0.000000,3.793190
14,0.140000,73,0.089176,-62.039062,389.328125,23.251953,-17.771484,0.869354,0.045647,0.059723,0.000000,3.706549
14,0.140000,74,-0.006304,-62.650391,389.343750,23.129883,-17.506836,0.973999,0.044965,0.059407,0.000000,3.790698
15,0.150000,75,0.080227,-63.007812,389.687500,23.033203,-17.275391,0.973450,0.044331,0.059107,0.000000,3.771416
15,0.150000,76,-0.268631,-63.171875,387.218750,23.006836,-16.867188,0.977905,0.043560,0.059416,0.000000,3.713701
