Format Version,1.0,
Take Name,230626_Group7_trial3_000,
Capture Frame Rate,500.00,
Export Frame Rate,100.00,
Capture Start Time,26 Jun 2023 17:00:19 +0900,
Total Frames In Take,370,
Total Exported Frames,1850,
Coordinate Space,Local,
Device Name,AMTI 10665M 10665M,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,5.00,

PlateLength,18.250000,
PlateWidth,20.000000,
PlateOrder,2,
PosX_PosY_X,-0.004609,
PosX_PosY_Y,0.004035,
PosX_PosY_Z,0.511387,
NegX_PosY_X,0.459686,
NegX_PosY_Y,0.001415,
NegX_PosY_Z,0.511726,
NegX_NegY_X,0.457833,
NegX_NegY_Y,0.008914,
NegX_NegY_Z,1.020820,
PosX_NegY_X,-0.006462,
PosX_NegY_Y,0.011534,
PosX_NegY_Z,1.020490,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
0,0.000000,0,3.364990,-63.714844,322.484375,1.576843,2.702026,-0.399887,-0.008379,0.004890,0.000000,-0.917286
0,0.000000,1,3.099487,-63.710938,321.765625,1.501343,2.691895,-0.433685,-0.008366,0.004666,0.000000,-0.952230
0,0.000000,2,3.008179,-63.625000,322.484375,1.498169,2.611572,-0.399918,-0.008098,0.004646,0.000000,-0.901196
0,0.000000,3,2.736450,-63.798828,324.968750,1.430908,2.447388,-0.418579,-0.007531,0.004403,0.000000,-0.887008
0,0.000000,4,2.742065,-63.974609,324.593750,1.362732,2.752441,-0.418259,-0.008480,0.004198,0.000000,-0.949229
1,0.010000,5,2.913330,-63.800781,324.968750,1.430908,2.454468,-0.452820,-0.007553,0.004403,0.000000,-0.921875
1,0.010000,6,2.477783,-63.882812,322.828125,1.584106,2.742798,-0.348755,-0.008496,0.004907,0.000000,-0.879355
1,0.010000,7,3.092163,-63.978516,325.312500,1.475769,2.651733,-0.452957,-0.008151,0.004536,0.000000,-0.960440
1,0.010000,8,3.096313,-63.621094,326.031250,1.198547,2.651245,-0.419159,-0.008132,0.003676,0.000000,-0.925135
1,0.010000,9,2.473389,-64.242188,324.968750,1.561707,2.779785,-0.452682,-0.008554,0.004806,0.000000,-0.990324
2,0.020000,10,2.747681,-64.148438,324.250000,1.482605,2.981323,-0.469284,-0.009195,0.004572,0.000000,-1.046535
2,0.020000,11,2.290527,-64.410156,323.906250,1.417908,2.583130,-0.435013,-0.007975,0.004378,0.000000,-0.938653
2,0.020000,12,2.469238,-64.238281,326.734375,1.336670,2.588623,-0.488068,-0.007923,0.004091,0.000000,-0.986908
2,0.020000,13,2.289795,-64.769531,326.375000,1.470764,2.734619,-0.436462,-0.008379,0.004506,0.000000,-0.968832
2,0.020000,14,2.382324,-64.769531,326.031250,1.508240,2.928589,-0.436188,-0.008983,0.004626,0.000000,-1.006962
3,0.030000,15,2.464478,-64.949219,327.796875,1.440918,2.816772,-0.437271,-0.008593,0.004396,0.000000,-0.984549
3,0.030000,16,2.198242,-64.683594,328.515625,1.317627,2.653198,-0.471985,-0.008076,0.004011,0.000000,-0.985574
3,0.030000,17,2.553223,-64.945312,325.671875,1.477539,2.821655,-0.418884,-0.008664,0.004537,0.000000,-0.969994
3,0.030000,18,2.376587,-65.210938,329.203125,1.339233,2.965088,-0.386749,-0.009007,0.004068,0.000000,-0.964427
3,0.030000,19,2.014648,-65.562500,326.734375,1.352722,2.838379,-0.402420,-0.008687,0.004140,0.000000,-0.963628
4,0.040000,20,2.812012,-65.484375,327.796875,1.424622,2.831421,-0.385941,-0.008638,0.004346,0.000000,-0.939356
4,0.040000,21,2.630615,-65.835938,330.625000,1.289429,2.861206,-0.456100,-0.008654,0.003900,0.000000,-1.015581
4,0.040000,22,2.367188,-65.656250,329.921875,1.244568,2.812866,-0.438538,-0.008526,0.003772,0.000000,-0.989384
4,0.040000,23,2.541260,-65.921875,327.453125,1.442322,2.783569,-0.437088,-0.008501,0.004405,0.000000,-0.986274
4,0.040000,24,2.368286,-65.566406,329.937500,1.165771,2.812744,-0.489914,-0.008525,0.003533,0.000000,-1.040505
5,0.050000,25,2.274536,-66.007812,330.265625,1.334167,2.771240,-0.387451,-0.008391,0.004040,0.000000,-0.932131
5,0.050000,26,2.800659,-65.753906,330.640625,1.248474,2.449341,-0.473389,-0.007408,0.003776,0.000000,-0.949910
5,0.050000,27,2.708618,-66.367188,330.640625,1.235718,2.674927,-0.439056,-0.008090,0.003737,0.000000,-0.965853
5,0.050000,28,2.700439,-66.726562,330.640625,1.287720,2.598999,-0.575989,-0.007860,0.003895,0.000000,-1.089975
5,0.050000,29,2.789917,-66.640625,331.000000,1.359436,2.488159,-0.524902,-0.007517,0.004107,0.000000,-1.014388
6,0.060000,30,3.056519,-66.546875,329.937500,1.242615,2.537231,-0.490005,-0.007690,0.003766,0.000000,-0.990242
6,0.060000,31,3.237549,-66.554688,329.937500,1.393127,2.620483,-0.438660,-0.007942,0.004222,0.000000,-0.953591
6,0.060000,32,3.142700,-66.726562,332.046875,1.212952,2.501953,-0.508423,-0.007535,0.003653,0.000000,-0.999723
6,0.060000,33,3.320679,-66.644531,332.046875,1.059204,2.509033,-0.508423,-0.007556,0.003190,0.000000,-1.001414
6,0.060000,34,3.500000,-66.464844,330.640625,1.276917,2.592529,-0.490417,-0.007841,0.003862,0.000000,-0.998047
7,0.070000,35,3.235474,-66.378906,331.703125,1.311523,2.467163,-0.439758,-0.007438,0.003954,0.000000,-0.920683
7,0.070000,36,3.754272,-66.738281,331.359375,1.175293,2.298706,-0.490967,-0.006937,0.003547,0.000000,-0.940628
7,0.070000,37,3.671753,-66.562500,332.046875,1.281128,2.446655,-0.491318,-0.007368,0.003858,0.000000,-0.967610
7,0.070000,38,3.577393,-66.738281,331.000000,1.250244,2.177612,-0.559265,-0.006579,0.003777,0.000000,-0.984816
7,0.070000,39,3.757690,-66.472656,330.281250,1.201660,2.184814,-0.558838,-0.006615,0.003638,0.000000,-0.984884
8,0.080000,40,3.756470,-66.562500,331.000000,1.205444,2.222656,-0.473663,-0.006715,0.003642,0.000000,-0.906948
8,0.080000,41,3.755615,-66.292969,331.703125,1.082275,2.145752,-0.525482,-0.006469,0.003263,0.000000,-0.942070
8,0.080000,42,3.848755,-66.566406,332.421875,1.206055,2.377563,-0.440231,-0.007152,0.003628,0.000000,-0.902367
8,0.080000,43,4.381104,-66.128906,332.046875,1.225769,2.284546,-0.542755,-0.006880,0.003692,0.000000,-0.981562
8,0.080000,44,3.934082,-66.203125,329.593750,1.077820,2.115845,-0.541321,-0.006420,0.003270,0.000000,-0.953450
9,0.090000,45,3.936768,-66.292969,330.281250,1.119324,2.229736,-0.558807,-0.006751,0.003389,0.000000,-0.993011
9,0.090000,46,4.110352,-66.210938,333.109375,1.079163,2.120728,-0.440750,-0.006366,0.003240,0.000000,-0.848963
9,0.090000,47,4.025146,-66.300781,331.359375,1.232483,2.194702,-0.491028,-0.006623,0.003719,0.000000,-0.915188
9,0.090000,48,4.112549,-66.386719,331.359375,1.010437,2.198486,-0.559479,-0.006635,0.003049,0.000000,-0.987397
9,0.090000,49,4.292725,-66.125000,331.343750,1.263000,2.166992,-0.576599,-0.006540,0.003812,0.000000,-0.992695
10,0.100000,50,4.095947,-66.285156,334.828125,1.263245,2.182495,-0.493118,-0.006518,0.003773,0.000000,-0.909729
10,0.100000,51,4.020752,-66.656250,333.109375,1.209839,2.270142,-0.509186,-0.006815,0.003632,0.000000,-0.948845
10,0.100000,52,4.117188,-66.308594,333.828125,1.459106,2.311035,-0.560944,-0.006923,0.004371,0.000000,-1.001991
10,0.100000,53,4.185059,-66.546875,335.203125,1.123474,2.338501,-0.527527,-0.006976,0.003352,0.000000,-0.977756
10,0.100000,54,3.754028,-66.742188,333.484375,1.251282,2.259399,-0.577850,-0.006775,0.003752,0.000000,-1.015952
11,0.110000,55,3.746460,-66.277344,334.484375,1.075012,2.358765,-0.544189,-0.007052,0.003214,0.000000,-0.999533
11,0.110000,56,3.567261,-66.457031,336.609375,1.233459,2.351074,-0.511261,-0.006985,0.003664,0.000000,-0.962364
11,0.110000,57,3.839600,-66.542969,335.546875,1.198853,2.590576,-0.510529,-0.007720,0.003573,0.000000,-1.010553
11,0.110000,58,3.655762,-66.457031,336.265625,1.270813,2.278564,-0.579559,-0.006776,0.003779,0.000000,-1.016062
11,0.110000,59,3.563843,-67.074219,336.265625,1.371033,2.503784,-0.509674,-0.007446,0.004077,0.000000,-0.994568
12,0.120000,60,3.568970,-66.632812,338.031250,1.203186,2.426636,-0.494965,-0.007179,0.003559,0.000000,-0.960600
12,0.120000,61,3.913940,-66.992188,339.437500,1.142883,2.326172,-0.495850,-0.006853,0.003367,0.000000,-0.941770
12,0.120000,62,3.380737,-67.253906,338.031250,1.341064,2.267456,-0.425247,-0.006708,0.003967,0.000000,-0.862963
12,0.120000,63,3.733643,-67.613281,339.437500,1.355957,2.433716,-0.494476,-0.007170,0.003995,0.000000,-0.964339
12,0.120000,64,3.553955,-67.871094,338.031250,1.253357,2.541748,-0.460709,-0.007519,0.003708,0.000000,-0.957872
13,0.130000,65,3.557739,-67.871094,339.796875,1.216370,2.616943,-0.427521,-0.007701,0.003580,0.000000,-0.937494
13,0.130000,66,3.822021,-67.613281,339.093750,1.355835,2.513428,-0.477112,-0.007412,0.003998,0.000000,-0.962992
13,0.130000,67,3.661987,-67.250000,337.671875,1.340881,2.887573,-0.426147,-0.008551,0.003971,0.000000,-0.986689
13,0.130000,68,3.565063,-67.609375,339.796875,1.355957,2.845215,-0.427444,-0.008373,0.003990,0.000000,-0.979330
13,0.130000,69,3.736694,-67.703125,339.796875,1.322144,2.662109,-0.478836,-0.007834,0.003891,0.000000,-0.994711
14,0.140000,70,3.561035,-67.609375,339.437500,1.167969,2.617065,-0.461502,-0.007710,0.003441,0.000000,-0.970518
14,0.140000,71,3.466919,-68.402344,339.796875,1.275330,2.842285,-0.512970,-0.008365,0.003753,0.000000,-1.072120
14,0.140000,72,3.206055,-68.054688,341.218750,1.487061,2.716309,-0.495468,-0.007961,0.004358,0.000000,-1.023252
14,0.140000,73,3.203003,-67.964844,341.562500,1.408569,2.677979,-0.478546,-0.007840,0.004124,0.000000,-0.998207
14,0.140000,74,3.024048,-68.136719,341.218750,1.302734,2.671265,-0.496780,-0.007829,0.003818,0.000000,-1.018650
15,0.150000,75,3.286377,-68.046875,340.156250,1.261169,2.492065,-0.444870,-0.007326,0.003708,0.000000,-0.931213
15,0.150000,76,3.198853,-67.964844,341.921875,1.446350,2.411377,-0.444656,-0.007052,0.004230,0.000000,-0.910442
15,0.150000,77,3.372070,-68.585938,342.984375,1.396484,2.646729,-0.530792,-0.007717,0.004072,0.000000,-1.046324
15,0.150000,78,2.932739,-68.046875,340.859375,1.299133,2.439453,-0.462448,-0.007157,0.003811,0.000000,-0.938267
15,0.150000,79,3.371094,-68.320312,343.328125,1.273071,2.570190,-0.429657,-0.007486,0.003708,0.000000,-0.928610
16,0.160000,80,3.549927,-68.148438,343.328125,1.378662,2.539307,-0.531006,-0.007396,0.004016,0.000000,-1.020787
16,0.160000,81,3.106323,-68.316406,340.500000,1.309753,2.522949,-0.445084,-0.007410,0.003847,0.000000,-0.939328
16,0.160000,82,2.941650,-68.316406,342.265625,1.535828,2.895752,-0.478912,-0.008461,0.004487,0.000000,-1.043706
16,0.160000,83,3.023560,-68.500000,344.046875,1.430847,2.746338,-0.445816,-0.007982,0.004159,0.000000,-0.980039
16,0.160000,84,3.192261,-68.148438,343.703125,1.454041,2.334473,-0.394394,-0.006792,0.004231,0.000000,-0.843761
17,0.170000,85,3.020752,-68.054688,344.046875,1.337769,2.517578,-0.447235,-0.007318,0.003888,0.000000,-0.933483
17,0.170000,86,3.198242,-68.316406,344.390625,1.310913,2.639038,-0.464493,-0.007663,0.003806,0.000000,-0.975822
17,0.170000,87,2.934448,-67.523438,345.812500,1.053711,2.398682,-0.482574,-0.006936,0.003047,0.000000,-0.942000
17,0.170000,88,3.195435,-67.878906,344.750000,1.218079,2.333984,-0.533295,-0.006770,0.003533,0.000000,-0.981550
17,0.170000,89,3.119507,-67.527344,345.109375,1.429504,2.710571,-0.514893,-0.007854,0.004142,0.000000,-1.032347
18,0.180000,90,3.289062,-67.792969,344.390625,1.402344,2.489868,-0.497452,-0.007230,0.004072,0.000000,-0.974187
18,0.180000,91,3.471069,-67.707031,343.328125,1.323242,2.573608,-0.532349,-0.007496,0.003854,0.000000,-1.026507
18,0.180000,92,3.205811,-67.707031,344.390625,1.586792,2.638306,-0.463165,-0.007661,0.004608,0.000000,-0.967084
18,0.180000,93,3.284790,-68.144531,344.390625,1.416626,2.528076,-0.514557,-0.007341,0.004113,0.000000,-1.001275
18,0.180000,94,3.204346,-68.152344,346.515625,1.379883,2.752197,-0.517090,-0.007942,0.003982,0.000000,-1.045629
19,0.190000,95,3.029175,-67.699219,344.390625,1.285950,2.631470,-0.498749,-0.007641,0.003734,0.000000,-1.004724
19,0.190000,96,3.472534,-67.261719,342.265625,1.305115,2.497681,-0.531738,-0.007297,0.003813,0.000000,-1.009339
19,0.190000,97,3.735107,-67.796875,343.328125,1.514832,2.698120,-0.530975,-0.007859,0.004412,0.000000,-1.047292
19,0.190000,98,3.644653,-67.621094,344.750000,1.395325,2.503784,-0.514801,-0.007263,0.004047,0.000000,-0.991155
19,0.190000,99,3.912964,-67.359375,344.734375,1.347168,2.552246,-0.516083,-0.007404,0.003908,0.000000,-0.999488
20,0.200000,100,3.297852,-67.082031,342.265625,1.373047,2.414307,-0.513336,-0.007054,0.004012,0.000000,-0.973296
20,0.200000,101,3.738403,-67.531250,342.984375,1.353638,2.584351,-0.515045,-0.007535,0.003947,0.000000,-1.009132
20,0.200000,102,3.211548,-66.906250,342.984375,1.291077,2.486328,-0.463715,-0.007249,0.003764,0.000000,-0.936636
20,0.200000,103,3.305420,-66.460938,342.984375,1.235413,2.451782,-0.583557,-0.007148,0.003602,0.000000,-1.046739
20,0.200000,104,4.006836,-66.914062,342.625000,1.403625,2.518311,-0.530579,-0.007350,0.004097,0.000000,-1.005985
21,0.210000,105,3.657593,-66.914062,342.625000,1.629272,2.542358,-0.547699,-0.007420,0.004755,0.000000,-1.026824
21,0.210000,106,3.662231,-66.199219,341.906250,1.224304,2.542358,-0.531494,-0.007436,0.003581,0.000000,-1.010627
21,0.210000,107,3.570801,-66.464844,340.843750,1.385193,2.425171,-0.461121,-0.007115,0.004064,0.000000,-0.919519
21,0.210000,108,3.834961,-66.554688,340.156250,1.426025,2.512329,-0.494888,-0.007386,0.004192,0.000000,-0.970371
21,0.210000,109,3.658936,-66.468750,341.562500,1.460571,2.428345,-0.478668,-0.007110,0.004276,0.000000,-0.935583
22,0.220000,110,3.835693,-66.472656,341.562500,1.535828,2.511475,-0.581299,-0.007353,0.004496,0.000000,-1.052819
22,0.220000,111,3.389648,-66.820312,341.218750,1.512512,2.494141,-0.427078,-0.007310,0.004433,0.000000,-0.900477
22,0.220000,112,3.749512,-66.292969,341.906250,1.303284,2.507935,-0.582886,-0.007335,0.003812,0.000000,-1.054862
