Format Version,1.0,
Take Name,230626_Group7_trial1_002,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,26 Jun 2023 16:58:45 +0900,
Total Frames In Take,403,
Total Exported Frames,4030,
Coordinate Space,Local,
Device Name,Trigno 2883,
Device Type,0,
Device Channel Count,2,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Sensor 1,Sensor 2
0,0.000000,0,0.063964,-0.062507
0,0.000000,1,0.057940,-0.066393
0,0.000000,2,0.043075,-0.066101
0,0.000000,3,0.034876,-0.062227
0,0.000000,4,0.031687,-0.050724
0,0.000000,5,0.005733,-0.050590
0,0.000000,6,-0.000267,-0.079557
0,0.000000,7,-0.004549,-0.095634
0,0.000000,8,-0.004225,-0.095671
0,0.000000,9,-0.004045,-0.075276
1,0.010000,10,-0.000267,-0.032484
1,0.010000,11,0.000151,0.023703
1,0.010000,12,-0.011757,0.024066
1,0.010000,13,-0.020095,0.016458
1,0.010000,14,-0.034846,0.020995
1,0.010000,15,-0.026319,-0.019939
1,0.010000,16,-0.008831,-0.079118
1,0.010000,17,0.016794,-0.083300
1,0.010000,18,0.042043,-0.074486
1,0.010000,19,0.038537,-0.070977
2,0.020000,20,0.018170,-0.080769
2,0.020000,21,-0.007390,-0.082270
2,0.020000,22,-0.027044,-0.076191
2,0.020000,23,-0.030492,-0.078390
2,0.020000,24,-0.015684,-0.079215
2,0.020000,25,-0.002439,-0.085095
2,0.020000,26,0.003119,-0.080238
2,0.020000,27,-0.002833,-0.078657
2,0.020000,28,-0.002022,-0.076869
2,0.020000,29,0.006398,-0.076420
3,0.030000,30,0.004377,-0.077002
3,0.030000,31,0.004385,-0.042602
3,0.030000,32,0.008724,0.019381
3,0.030000,33,0.010948,0.011839
3,0.030000,34,0.004277,-0.022199
3,0.030000,35,-0.004292,-0.058564
3,0.030000,36,-0.010017,-0.085875
3,0.030000,37,-0.006636,-0.075046
3,0.030000,38,-0.005233,-0.061888
3,0.030000,39,-0.003632,-0.053717
4,0.040000,40,-0.003853,-0.041078
4,0.040000,41,0.012087,-0.015924
4,0.040000,42,0.020670,0.012647
4,0.040000,43,0.025776,0.003917
4,0.040000,44,0.009757,-0.051709
4,0.040000,45,-0.005200,-0.083638
4,0.040000,46,-0.016535,-0.100109
4,0.040000,47,-0.011084,-0.121536
4,0.040000,48,-0.004780,-0.159769
4,0.040000,49,0.004299,-0.091733
5,0.050000,50,0.009389,0.005745
5,0.050000,51,0.008948,0.029036
5,0.050000,52,0.015945,-0.034194
5,0.050000,53,0.018504,-0.107375
5,0.050000,54,0.010001,-0.163040
5,0.050000,55,-0.001040,-0.093766
5,0.050000,56,-0.017984,-0.000690
5,0.050000,57,-0.036114,0.018838
5,0.050000,58,-0.040003,-0.044428
5,0.050000,59,-0.037421,-0.085399
6,0.060000,60,-0.041108,-0.077105
6,0.060000,61,0.011259,-0.044197
6,0.060000,62,0.057028,-0.026074
6,0.060000,63,0.080283,-0.022939
6,0.060000,64,0.077211,-0.018297
6,0.060000,65,0.061285,-0.098832
6,0.060000,66,0.033537,-0.160752
6,0.060000,67,0.005281,-0.157192
6,0.060000,68,-0.019703,-0.077857
6,0.060000,69,-0.040581,0.051511
7,0.070000,70,-0.029678,0.053660
7,0.070000,71,-0.015798,-0.022392
7,0.070000,72,-0.012362,-0.026961
7,0.070000,73,-0.012121,-0.010125
7,0.070000,74,-0.007193,-0.033961
7,0.070000,75,-0.000305,-0.042362
7,0.070000,76,0.001791,-0.055966
7,0.070000,77,0.006992,-0.061317
7,0.070000,78,0.006340,-0.071189
7,0.070000,79,0.008001,-0.074883
8,0.080000,80,-0.024484,-0.076692
8,0.080000,81,-0.041337,-0.077348
8,0.080000,82,-0.032136,-0.062832
8,0.080000,83,0.017111,-0.060965
8,0.080000,84,0.049976,-0.056980
8,0.080000,85,0.043292,-0.062637
8,0.080000,86,0.024393,-0.062162
8,0.080000,87,0.005955,-0.062440
8,0.080000,88,-0.021515,-0.105443
8,0.080000,89,-0.031567,-0.174040
9,0.090000,90,-0.009518,-0.061181
9,0.090000,91,0.005740,0.039704
9,0.090000,92,0.003458,0.023730
9,0.090000,93,-0.004419,-0.028630
9,0.090000,94,-0.009286,-0.046916
9,0.090000,95,-0.002464,-0.066916
9,0.090000,96,0.004481,-0.103450
9,0.090000,97,0.003982,-0.076671
9,0.090000,98,0.004949,-0.034142
9,0.090000,99,-0.002859,-0.028780
10,0.100000,100,-0.008841,-0.049709
10,0.100000,101,-0.014933,-0.062282
10,0.100000,102,-0.026116,-0.054007
10,0.100000,103,-0.059489,-0.064415
10,0.100000,104,-0.040512,-0.068436
10,0.100000,105,0.018770,-0.072719
10,0.100000,106,0.046893,-0.079381
10,0.100000,107,0.030195,-0.081158
10,0.100000,108,0.047844,-0.060223
10,0.100000,109,0.062901,-0.064142
11,0.110000,110,0.094444,-0.055214
11,0.110000,111,0.107495,-0.037612
11,0.110000,112,0.069876,-0.050090
11,0.110000,113,0.018061,-0.071285
11,0.110000,114,-0.014870,-0.041327
11,0.110000,115,-0.062724,0.050791
11,0.110000,116,-0.059407,0.027294
11,0.110000,117,-0.029017,-0.061403
11,0.110000,118,-0.007385,-0.140273
11,0.110000,119,0.014145,-0.164835
12,0.120000,120,-0.014578,-0.063654
12,0.120000,121,-0.044970,0.088874
12,0.120000,122,-0.039413,0.111642
12,0.120000,123,-0.029593,-0.023930
12,0.120000,124,-0.029417,-0.080747
12,0.120000,125,0.021670,-0.084219
12,0.120000,126,0.063885,-0.082302
12,0.120000,127,0.050933,-0.075282
12,0.120000,128,0.023068,-0.074608
12,0.120000,129,0.011590,-0.084982
13,0.130000,130,0.003838,-0.063629
13,0.130000,131,-0.010439,-0.070782
13,0.130000,132,-0.018737,-0.077261
13,0.130000,133,-0.014660,-0.070515
13,0.130000,134,-0.014065,-0.063296
13,0.130000,135,-0.012930,-0.073794
13,0.130000,136,-0.013845,-0.074845
13,0.130000,137,-0.008458,-0.074055
13,0.130000,138,-0.006926,-0.093730
13,0.130000,139,-0.006425,-0.119274
14,0.140000,140,-0.008057,-0.128517
14,0.140000,141,-0.003942,-0.079783
14,0.140000,142,-0.003779,0.011954
14,0.140000,143,-0.000616,0.057010
14,0.140000,144,-0.000900,0.017186
14,0.140000,145,-0.004640,-0.034604
14,0.140000,146,-0.016704,-0.056961
14,0.140000,147,-0.008697,-0.055089
14,0.140000,148,0.001781,-0.048378
14,0.140000,149,0.019722,-0.046313
15,0.150000,150,0.029279,-0.062847
15,0.150000,151,0.028343,-0.086261
15,0.150000,152,0.022161,-0.125453
15,0.150000,153,0.019955,-0.111381
15,0.150000,154,0.014132,-0.040051
15,0.150000,155,-0.001238,0.000754
15,0.150000,156,-0.008674,-0.030785
15,0.150000,157,-0.002612,-0.065807
15,0.150000,158,-0.004494,-0.072454
15,0.150000,159,-0.011701,-0.082264
16,0.160000,160,-0.009425,-0.086046
16,0.160000,161,-0.003212,-0.066769
16,0.160000,162,-0.002310,-0.022246
16,0.160000,163,-0.000441,0.024985
16,0.160000,164,0.006027,0.029293
16,0.160000,165,0.004028,-0.027295
16,0.160000,166,-0.027681,-0.089481
16,0.160000,167,-0.027551,-0.051623
16,0.160000,168,0.001808,-0.025332
16,0.160000,169,0.051895,-0.031122
17,0.170000,170,0.055025,-0.045274
17,0.170000,171,0.018306,-0.051941
17,0.170000,172,-0.010659,-0.072092
17,0.170000,173,-0.020387,-0.083711
17,0.170000,174,-0.010001,-0.078203
