Format Version,1.23,Take Name,230626_Group7_trial2_002,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2023-06-26 04.59.38.989 오후,Capture Start Frame,544185,Total Frames in Take,397,Total Exported Frames,397,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Skeleton:LANK,Skeleton:LANK,Skeleton:LANK,Skeleton:LASI,Skeleton:LASI,Skeleton:LASI,Skeleton:LHEE,Skeleton:LHEE,Skeleton:LHEE,Skeleton:LKNE,Skeleton:LKNE,Skeleton:LKNE,Skeleton:LPSI,Skeleton:LPSI,Skeleton:LPSI,Skeleton:LTHI,Skeleton:LTHI,Skeleton:LTHI,Skeleton:LTIB,Skeleton:LTIB,Skeleton:LTIB,Skeleton:LTOE,Skeleton:LTOE,Skeleton:LTOE,Skeleton:RANK,Skeleton:RANK,Skeleton:RANK,Skeleton:RASI,Skeleton:RASI,Skeleton:RASI,Skeleton:RHEE,Skeleton:RHEE,Skeleton:RHEE,Skeleton:RKNE,Skeleton:RKNE,Skeleton:RKNE,Skeleton:RPSI,Skeleton:RPSI,Skeleton:RPSI,Skeleton:RTHI,Skeleton:RTHI,Skeleton:RTHI,Skeleton:RTIB,Skeleton:RTIB,Skeleton:RTIB,Skeleton:RTOE,Skeleton:RTOE,Skeleton:RTOE
,ID,"6333FE4F13F711EEAF36E19734FCBCA0","6333FE4F13F711EEAF36E19734FCBCA0","6333FE4F13F711EEAF36E19734FCBCA0","6333FE5513F711EEAF36E19734FCBCA0","6333FE5513F711EEAF36E19734FCBCA0","6333FE5513F711EEAF36E19734FCBCA0","6333FE4C13F711EEAF36E19734FCBCA0","6333FE4C13F711EEAF36E19734FCBCA0","6333FE4C13F711EEAF36E19734FCBCA0","6333FE5013F711EEAF36E19734FCBCA0","6333FE5013F711EEAF36E19734FCBCA0","6333FE5013F711EEAF36E19734FCBCA0","6333FE5313F711EEAF36E19734FCBCA0","6333FE5313F711EEAF36E19734FCBCA0","6333FE5313F711EEAF36E19734FCBCA0","6333FE5113F711EEAF36E19734FCBCA0","6333FE5113F711EEAF36E19734FCBCA0","6333FE5113F711EEAF36E19734FCBCA0","6333FE5213F711EEAF36E19734FCBCA0","6333FE5213F711EEAF36E19734FCBCA0","6333FE5213F711EEAF36E19734FCBCA0","6333FE4B13F711EEAF36E19734FCBCA0","6333FE4B13F711EEAF36E19734FCBCA0","6333FE4B13F711EEAF36E19734FCBCA0","6333FE4E13F711EEAF36E19734FCBCA0","6333FE4E13F711EEAF36E19734FCBCA0","6333FE4E13F711EEAF36E19734FCBCA0","6333FE5613F711EEAF36E19734FCBCA0","6333FE5613F711EEAF36E19734FCBCA0","6333FE5613F711EEAF36E19734FCBCA0","6333FE4D13F711EEAF36E19734FCBCA0","6333FE4D13F711EEAF36E19734FCBCA0","6333FE4D13F711EEAF36E19734FCBCA0","6333FE4913F711EEAF36E19734FCBCA0","6333FE4913F711EEAF36E19734FCBCA0","6333FE4913F711EEAF36E19734FCBCA0","6333FE5413F711EEAF36E19734FCBCA0","6333FE5413F711EEAF36E19734FCBCA0","6333FE5413F711EEAF36E19734FCBCA0","6333FE4713F711EEAF36E19734FCBCA0","6333FE4713F711EEAF36E19734FCBCA0","6333FE4713F711EEAF36E19734FCBCA0","6333FE4813F711EEAF36E19734FCBCA0","6333FE4813F711EEAF36E19734FCBCA0","6333FE4813F711EEAF36E19734FCBCA0","6333FE4A13F711EEAF36E19734FCBCA0","6333FE4A13F711EEAF36E19734FCBCA0","6333FE4A13F711EEAF36E19734FCBCA0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.337952,0.084386,0.752170,0.181633,0.983209,0.672867,0.368703,0.081841,0.692704,0.291391,0.513682,0.720881,0.369772,0.985437,0.587178,0.285245,0.593424,0.715568,0.313622,0.425932,0.732881,0.198750,0.051569,0.773181,0.353607,0.077875,0.272685,0.184338,0.970481,0.398294,0.377464,0.077868,0.332836,0.294041,0.515632,0.317133,0.372667,0.979387,0.480730,0.286878,0.616715,0.320154,0.324395,0.380001,0.288898,0.193769,0.041737,0.243587
1,0.010000,0.337977,0.084376,0.752144,0.181694,0.983200,0.672850,0.368694,0.081823,0.692673,0.291473,0.513707,0.720810,0.369557,0.985584,0.587142,0.285374,0.593408,0.715449,0.313684,0.425934,0.732826,0.198766,0.051549,0.773183,0.353627,0.077846,0.272676,0.184310,0.970461,0.398288,0.377481,0.077837,0.332800,0.294077,0.515632,0.317116,0.372647,0.979453,0.480643,0.286921,0.616728,0.320121,0.324461,0.379975,0.288876,0.193787,0.041739,0.243596
2,0.020000,0.337994,0.084391,0.752135,0.181767,0.983206,0.672859,0.368696,0.081826,0.692648,0.291573,0.513723,0.720755,0.369580,0.985504,0.586958,0.285518,0.593443,0.715401,0.313757,0.425936,0.732788,0.198776,0.051556,0.773185,0.353647,0.077848,0.272654,0.184273,0.970424,0.398292,0.377524,0.077849,0.332770,0.294117,0.515632,0.317098,0.372598,0.979552,0.480526,0.286949,0.616742,0.320085,0.324513,0.379977,0.288877,0.193799,0.041758,0.243602
3,0.030000,0.338004,0.084388,0.752137,0.181873,0.983203,0.672845,0.368702,0.081827,0.692639,0.291701,0.513742,0.720711,0.369806,0.985652,0.586855,0.285635,0.593432,0.715338,0.313871,0.425933,0.732758,0.198781,0.051567,0.773219,0.353667,0.077834,0.272643,0.184256,0.970393,0.398273,0.377547,0.077822,0.332737,0.294179,0.515618,0.317066,0.372590,0.979628,0.480404,0.286983,0.616743,0.320017,0.324587,0.379972,0.288861,0.193810,0.041754,0.243603
4,0.040000,0.338048,0.084363,0.752138,0.181991,0.983195,0.672829,0.368710,0.081816,0.692652,0.291797,0.513766,0.720694,0.369881,0.985749,0.586688,0.285791,0.593469,0.715283,0.313953,0.425947,0.732768,0.198795,0.051591,0.773251,0.353693,0.077824,0.272617,0.184265,0.970372,0.398260,0.377567,0.077813,0.332697,0.294227,0.515621,0.317017,0.372578,0.979696,0.480299,0.287023,0.616751,0.319976,0.324640,0.379968,0.288813,0.193822,0.041766,0.243608
5,0.050000,0.338074,0.084382,0.752172,0.182121,0.983178,0.672825,0.368724,0.081814,0.692679,0.291888,0.513783,0.720691,0.369791,0.985667,0.586523,0.285929,0.593490,0.715278,0.314026,0.425954,0.732785,0.198776,0.051589,0.773257,0.353711,0.077807,0.272584,0.183674,0.970558,0.398659,0.377590,0.077798,0.332663,0.294260,0.515631,0.316987,0.372557,0.979749,0.480197,0.287052,0.616755,0.319945,0.324662,0.379975,0.288766,0.193846,0.041762,0.243616
