Format Version,1.0,
Take Name,230626_Group7_trial2_000,
Capture Frame Rate,500.00,
Export Frame Rate,100.00,
Capture Start Time,26 Jun 2023 16:59:29 +0900,
Total Frames In Take,367,
Total Exported Frames,1835,
Coordinate Space,Local,
Device Name,AMTI 10665M 10665M,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,5.00,

PlateLength,18.250000,
PlateWidth,20.000000,
PlateOrder,2,
PosX_PosY_X,-0.004609,
PosX_PosY_Y,0.004035,
PosX_PosY_Z,0.511387,
NegX_PosY_X,0.459686,
NegX_PosY_Y,0.001415,
NegX_PosY_Z,0.511726,
NegX_NegY_X,0.457833,
NegX_NegY_Y,0.008914,
NegX_NegY_Z,1.020820,
PosX_NegY_X,-0.006462,
PosX_NegY_Y,0.011534,
PosX_NegY_Z,1.020490,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
0,0.000000,0,-1.193420,-63.753906,433.140625,8.809570,5.338379,0.227386,-0.012325,0.020339,0.000000,-0.582641
0,0.000000,1,-1.732117,-64.011719,432.093750,8.895508,5.165283,0.347549,-0.011954,0.020587,0.000000,-0.453311
0,0.000000,2,-1.110596,-64.191406,429.953125,8.751953,5.343018,0.348755,-0.012427,0.020356,0.000000,-0.471557
0,0.000000,3,-1.014893,-64.015625,430.656250,8.744629,5.574463,0.262955,-0.012944,0.020305,0.000000,-0.586278
0,0.000000,4,-1.278625,-63.480469,432.093750,8.685547,5.410645,0.262161,-0.012522,0.020101,0.000000,-0.558438
1,0.010000,5,-0.749481,-63.585938,432.421875,9.064941,5.355713,0.296097,-0.012385,0.020963,0.000000,-0.507151
1,0.010000,6,-1.007324,-63.400391,431.718750,8.794922,5.687256,0.364761,-0.013174,0.020372,0.000000,-0.490966
1,0.010000,7,-0.481384,-63.765625,431.718750,9.034668,5.594238,0.279404,-0.012958,0.020927,0.000000,-0.556949
1,0.010000,8,-0.832703,-63.578125,431.718750,8.990234,5.618408,0.330627,-0.013014,0.020824,0.000000,-0.514122
1,0.010000,9,-0.647522,-63.322266,432.421875,9.204102,5.700684,0.381409,-0.013183,0.021285,0.000000,-0.467161
2,0.020000,10,-0.647461,-63.322266,433.125000,9.166992,5.814209,0.312683,-0.013424,0.021165,0.000000,-0.551049
2,0.020000,11,-0.995789,-63.314453,432.781250,9.017090,5.990234,0.398193,-0.013841,0.020835,0.000000,-0.498905
2,0.020000,12,-1.001953,-63.404297,434.187500,8.945801,5.838135,0.397415,-0.013446,0.020604,0.000000,-0.475770
2,0.020000,13,-0.828491,-63.669922,433.843750,9.106445,5.883057,0.363480,-0.013560,0.020990,0.000000,-0.517295
2,0.020000,14,-1.170288,-63.140625,433.484375,9.234863,6.096680,0.380707,-0.014064,0.021304,0.000000,-0.532257
3,0.030000,15,-0.732635,-63.498047,435.250000,8.986816,6.114258,0.379684,-0.014048,0.020647,0.000000,-0.527444
3,0.030000,16,-1.263733,-63.136719,435.593750,9.122559,5.902588,0.481979,-0.013551,0.020943,0.000000,-0.400032
3,0.030000,17,-1.168152,-63.412109,436.312500,9.395996,6.247559,0.447311,-0.014319,0.021535,0.000000,-0.485843
3,0.030000,18,-1.167053,-63.322266,436.312500,9.280762,6.247314,0.481445,-0.014318,0.021271,0.000000,-0.450055
