Format Version,1.0,
Take Name,230626_Group7_trial2,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,26 Jun 2023 16:59:24 +0900,
Total Frames In Take,424,
Total Exported Frames,4240,
Coordinate Space,Local,
Device Name,Trigno 2883,
Device Type,0,
Device Channel Count,2,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Sensor 1,Sensor 2
0,0.000000,0,0.014213,-0.059778
0,0.000000,1,0.027278,-0.042870
0,0.000000,2,0.023256,-0.040467
0,0.000000,3,0.020495,-0.038466
0,0.000000,4,0.029512,-0.035534
0,0.000000,5,0.018492,-0.040286
0,0.000000,6,0.007585,-0.072847
0,0.000000,7,0.012189,-0.122491
0,0.000000,8,0.014203,-0.060973
0,0.000000,9,0.015755,0.020835
1,0.010000,10,0.007406,-0.010246
1,0.010000,11,0.007256,-0.061393
1,0.010000,12,-0.010462,-0.053374
1,0.010000,13,-0.020055,-0.062459
1,0.010000,14,-0.023087,-0.083640
1,0.010000,15,-0.010189,-0.127559
1,0.010000,16,0.010492,-0.119797
1,0.010000,17,0.017637,-0.023263
1,0.010000,18,0.012446,0.036853
1,0.010000,19,0.008293,0.003794
2,0.020000,20,0.018510,-0.045086
2,0.020000,21,0.008279,-0.056411
2,0.020000,22,-0.000298,-0.061581
2,0.020000,23,-0.006195,-0.067063
2,0.020000,24,-0.008626,-0.058512
2,0.020000,25,-0.005023,-0.037722
2,0.020000,26,-0.003217,-0.050136
2,0.020000,27,-0.000772,-0.060683
2,0.020000,28,-0.001108,-0.042514
2,0.020000,29,0.000775,-0.056569
3,0.030000,30,-0.000753,-0.078868
3,0.030000,31,-0.003952,-0.106895
3,0.030000,32,-0.008054,-0.125266
3,0.030000,33,-0.006227,-0.128482
3,0.030000,34,-0.000978,-0.068534
3,0.030000,35,-0.007656,-0.014066
3,0.030000,36,-0.003338,0.010918
3,0.030000,37,0.002174,-0.022080
3,0.030000,38,0.006176,-0.063810
3,0.030000,39,0.006835,-0.051272
4,0.040000,40,0.005996,-0.072048
4,0.040000,41,0.003933,-0.052887
4,0.040000,42,0.003388,0.036649
4,0.040000,43,0.003016,0.102256
4,0.040000,44,0.000611,0.024404
4,0.040000,45,0.002803,-0.071619
4,0.040000,46,-0.000935,-0.081880
4,0.040000,47,-0.011711,-0.102958
4,0.040000,48,-0.002079,-0.115728
4,0.040000,49,0.014480,-0.113511
5,0.050000,50,0.014778,-0.152991
5,0.050000,51,-0.023566,-0.227678
5,0.050000,52,-0.006317,-0.135485
5,0.050000,53,0.044002,0.029297
5,0.050000,54,0.056410,0.033131
5,0.050000,55,0.023420,0.029993
5,0.050000,56,-0.001700,0.013053
5,0.050000,57,-0.020867,-0.050724
5,0.050000,58,-0.021147,-0.056548
5,0.050000,59,-0.021689,-0.058177
6,0.060000,60,-0.014689,-0.060355
6,0.060000,61,-0.004535,-0.061079
6,0.060000,62,0.000042,-0.061114
6,0.060000,63,0.003399,-0.065251
6,0.060000,64,-0.000699,-0.062376
6,0.060000,65,-0.001014,-0.067256
6,0.060000,66,0.001335,-0.071891
6,0.060000,67,0.008486,-0.068678
6,0.060000,68,-0.006690,-0.050933
6,0.060000,69,-0.019031,-0.068176
7,0.070000,70,0.017948,-0.083375
7,0.070000,71,0.050480,-0.077906
7,0.070000,72,0.045941,-0.082004
7,0.070000,73,0.021186,-0.094615
7,0.070000,74,-0.002776,-0.068127
7,0.070000,75,-0.023593,-0.042322
7,0.070000,76,-0.063584,-0.055649
7,0.070000,77,-0.049631,-0.002098
7,0.070000,78,0.000611,0.036951
7,0.070000,79,0.046258,0.008071
8,0.080000,80,0.041706,-0.032416
8,0.080000,81,0.027217,-0.047721
8,0.080000,82,0.003652,-0.059730
8,0.080000,83,-0.023754,-0.067232
8,0.080000,84,-0.032105,-0.058050
8,0.080000,85,-0.036438,-0.050180
8,0.080000,86,-0.043598,-0.048961
8,0.080000,87,-0.033154,-0.062909
8,0.080000,88,-0.014127,-0.068091
8,0.080000,89,0.009200,-0.075486
9,0.090000,90,0.026253,-0.082110
9,0.090000,91,0.036624,-0.096652
9,0.090000,92,0.037677,-0.108154
9,0.090000,93,0.045710,-0.103148
9,0.090000,94,0.044250,-0.096768
9,0.090000,95,0.024031,-0.052535
9,0.090000,96,0.008388,0.025994
9,0.090000,97,0.004674,0.064873
9,0.090000,98,0.002019,0.011092
9,0.090000,99,-0.007860,-0.030258
10,0.100000,100,-0.014279,-0.043051
10,0.100000,101,-0.010654,-0.044176
10,0.100000,102,-0.005028,-0.028160
10,0.100000,103,0.002893,-0.020651
10,0.100000,104,0.001755,-0.046446
10,0.100000,105,0.000026,-0.085937
10,0.100000,106,0.002818,-0.080902
10,0.100000,107,0.000973,-0.107139
10,0.100000,108,0.001025,-0.205551
10,0.100000,109,-0.000075,-0.308077
11,0.110000,110,0.003414,-0.107445
11,0.110000,111,0.006135,0.116026
11,0.110000,112,0.000490,0.062676
11,0.110000,113,-0.003305,-0.033724
11,0.110000,114,-0.002336,-0.056985
11,0.110000,115,-0.000607,-0.088558
11,0.110000,116,-0.004059,-0.060191
11,0.110000,117,-0.012759,-0.074264
11,0.110000,118,-0.015474,-0.082607
11,0.110000,119,-0.012221,-0.010558
12,0.120000,120,-0.003851,0.031766
12,0.120000,121,0.008690,0.036480
12,0.120000,122,0.010853,-0.017042
12,0.120000,123,0.007403,-0.041775
12,0.120000,124,0.005352,-0.053863
12,0.120000,125,0.016040,-0.069096
12,0.120000,126,0.020251,-0.086422
12,0.120000,127,0.014056,-0.095097
12,0.120000,128,0.008913,-0.104592
12,0.120000,129,-0.003360,-0.085902
13,0.130000,130,-0.004476,-0.085533
13,0.130000,131,-0.000746,-0.099314
13,0.130000,132,0.000273,-0.145364
13,0.130000,133,0.001768,-0.099682
13,0.130000,134,0.001891,0.061325
13,0.130000,135,0.001720,0.081227
13,0.130000,136,0.001188,-0.014926
13,0.130000,137,0.004277,-0.018814
13,0.130000,138,0.009323,-0.040794
13,0.130000,139,0.002780,-0.056258
14,0.140000,140,-0.005330,-0.055285
14,0.140000,141,-0.005851,-0.060684
14,0.140000,142,0.001691,-0.065320
14,0.140000,143,0.001000,-0.061722
14,0.140000,144,0.003581,-0.054720
14,0.140000,145,0.005907,-0.064930
14,0.140000,146,0.006655,-0.061784
14,0.140000,147,-0.000076,-0.066850
14,0.140000,148,-0.000244,-0.072944
14,0.140000,149,-0.018036,-0.068587
15,0.150000,150,-0.018304,-0.083826
15,0.150000,151,0.005288,-0.085744
15,0.150000,152,0.022669,-0.085236
15,0.150000,153,0.026007,-0.056855
15,0.150000,154,0.024380,-0.050216
15,0.150000,155,0.024031,-0.073235
15,0.150000,156,0.011486,-0.074483
15,0.150000,157,-0.000404,-0.055826
15,0.150000,158,-0.005915,-0.056028
15,0.150000,159,-0.013672,-0.051613
16,0.160000,160,-0.014042,-0.039161
16,0.160000,161,-0.004741,-0.040432
16,0.160000,162,-0.010043,-0.033517
16,0.160000,163,-0.010375,-0.047983
16,0.160000,164,-0.000672,-0.065802
16,0.160000,165,0.001350,-0.066279
16,0.160000,166,0.004065,-0.068433
16,0.160000,167,0.006742,-0.067373
16,0.160000,168,0.008324,-0.064990
16,0.160000,169,0.005554,-0.061422
17,0.170000,170,-0.002191,-0.065653
17,0.170000,171,-0.013026,-0.077024
17,0.170000,172,-0.021747,-0.078303
17,0.170000,173,-0.021130,-0.047448
17,0.170000,174,-0.013674,-0.055170
17,0.170000,175,0.002146,-0.109675
17,0.170000,176,0.012969,-0.140243
17,0.170000,177,0.015538,0.049732
17,0.170000,178,0.029053,0.192962
17,0.170000,179,0.045020,0.063028
18,0.180000,180,0.035322,-0.022521
18,0.180000,181,0.017605,-0.034712
18,0.180000,182,0.000917,-0.063159
18,0.180000,183,-0.006647,-0.083499
18,0.180000,184,-0.009131,-0.074869
18,0.180000,185,-0.050310,-0.076441
18,0.180000,186,-0.025442,-0.074653
18,0.180000,187,0.032955,-0.081143
18,0.180000,188,0.051417,-0.088181
18,0.180000,189,0.023958,-0.100309
19,0.190000,190,-0.001213,-0.096282
19,0.190000,191,-0.010368,-0.091781
19,0.190000,192,-0.018693,-0.080133
19,0.190000,193,-0.028883,-0.064429
19,0.190000,194,-0.024833,-0.056338
19,0.190000,195,-0.016107,-0.062788
19,0.190000,196,-0.005647,-0.067943
19,0.190000,197,0.002439,-0.070801
19,0.190000,198,0.003821,-0.080498
19,0.190000,199,0.002627,-0.117012
20,0.200000,200,0.000508,-0.091548
20,0.200000,201,0.001622,0.034849
20,0.200000,202,0.005972,0.076833
20,0.200000,203,0.002665,0.029451
20,0.200000,204,0.005744,-0.031761
20,0.200000,205,0.005613,-0.055250
20,0.200000,206,0.004987,-0.076170
20,0.200000,207,0.013574,-0.129018
20,0.200000,208,0.019610,-0.188225
20,0.200000,209,0.019701,-0.096006
21,0.210000,210,0.016846,-0.025422
21,0.210000,211,0.008337,-0.087956
21,0.210000,212,-0.000937,-0.117480
21,0.210000,213,-0.005709,-0.044910
21,0.210000,214,-0.013799,0.067269
21,0.210000,215,-0.019129,0.050916
21,0.210000,216,-0.021872,-0.003312
21,0.210000,217,-0.018573,-0.032812
21,0.210000,218,0.002920,-0.041912
21,0.210000,219,0.008077,-0.055872
22,0.220000,220,0.009508,-0.065377
22,0.220000,221,0.009929,-0.073138
22,0.220000,222,0.010602,-0.086430
22,0.220000,223,0.006069,-0.111020
22,0.220000,224,0.006636,-0.115795
22,0.220000,225,0.006171,-0.056196
22,0.220000,226,0.010825,-0.003595
22,0.220000,227,0.011817,-0.010214
22,0.220000,228,0.006608,-0.056189
22,0.220000,229,0.005348,-0.098912
23,0.230000,230,-0.000784,-0.086846
23,0.230000,231,0.002247,0.011462
23,0.230000,232,0.007902,0.018645
23,0.230000,233,0.007995,0.000178
23,0.230000,234,0.001485,-0.024919
23,0.230000,235,0.004764,-0.059335
23,0.230000,236,0.001637,-0.066997
23,0.230000,237,-0.003617,-0.073065
23,0.230000,238,0.003013,-0.077517
23,0.230000,239,0.001143,-0.080367
24,0.240000,240,-0.014460,-0.093562
24,0.240000,241,-0.023608,-0.092379
