Format Version,1.0,
Take Name,230626_Group7_trial1_002,
Capture Frame Rate,500.00,
Export Frame Rate,100.00,
Capture Start Time,26 Jun 2023 16:58:45 +0900,
Total Frames In Take,403,
Total Exported Frames,2015,
Coordinate Space,Local,
Device Name,AMTI 10666M 10666M,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,5.00,

PlateLength,18.250000,
PlateWidth,20.000000,
PlateOrder,1,
PosX_PosY_X,0.464372,
PosX_PosY_Y,-0.000098,
PosX_PosY_Z,0.507728,
NegX_PosY_X,-0.000027,
NegX_PosY_Y,-0.000085,
NegX_PosY_Z,0.509102,
NegX_NegY_X,-0.000016,
NegX_NegY_Y,-0.000056,
NegX_NegY_Z,0.000019,
PosX_NegY_X,0.464383,
PosX_NegY_Y,-0.000070,
PosX_NegY_Z,-0.001356,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
0,0.000000,0,0.045679,-48.925781,364.968750,19.470703,-14.014160,-1.135559,0.038398,0.053349,0.000000,0.745542
0,0.000000,1,0.114853,-49.632812,362.859375,19.648438,-14.123047,-1.167175,0.038922,0.054149,0.000000,0.770829
0,0.000000,2,-0.141891,-49.361328,361.453125,19.639648,-13.904297,-1.165161,0.038468,0.054335,0.000000,0.725949
0,0.000000,3,-0.137344,-49.189453,363.203125,19.706055,-13.981934,-1.150330,0.038496,0.054256,0.000000,0.735825
0,0.000000,4,0.038960,-49.277344,364.984375,19.448242,-14.051758,-1.221619,0.038500,0.053285,0.000000,0.677616
1,0.010000,5,0.208580,-49.541016,361.796875,19.535156,-13.890137,-1.234497,0.038392,0.053995,0.000000,0.678748
1,0.010000,6,0.206612,-49.457031,362.859375,19.493164,-14.082520,-1.150024,0.038810,0.053721,0.000000,0.780495
1,0.010000,7,0.029301,-49.546875,364.609375,19.571289,-14.204102,-1.152466,0.038957,0.053677,0.000000,0.779306
1,0.010000,8,0.125931,-49.277344,362.859375,19.524414,-13.856445,-1.235840,0.038187,0.053807,0.000000,0.652681
1,0.010000,9,-0.583466,-49.177734,363.578125,19.481445,-14.038574,-1.168213,0.038612,0.053583,0.000000,0.699387
2,0.020000,10,0.303879,-49.019531,363.562500,19.475586,-14.040527,-1.133789,0.038619,0.053569,0.000000,0.775589
2,0.020000,11,0.652954,-49.197266,361.796875,19.556641,-14.140137,-1.218811,0.039083,0.054054,0.000000,0.739265
2,0.020000,12,0.306595,-49.015625,361.093750,19.625000,-13.810547,-1.147461,0.038246,0.054349,0.000000,0.743875
2,0.020000,13,0.215195,-49.109375,365.671875,19.515625,-14.122559,-1.239746,0.038621,0.053369,0.000000,0.668384
2,0.020000,14,0.309677,-48.927734,363.203125,19.435547,-13.963867,-1.167664,0.038446,0.053512,0.000000,0.730005
3,0.030000,15,0.033207,-49.544922,363.921875,19.460938,-13.860840,-1.184265,0.038087,0.053476,0.000000,0.704548
3,0.030000,16,0.125252,-49.542969,362.859375,19.498047,-13.741699,-1.234375,0.037871,0.053734,0.000000,0.648577
3,0.030000,17,-0.052332,-49.095703,362.156250,19.589844,-13.977539,-1.166138,0.038595,0.054092,0.000000,0.725896
3,0.030000,18,0.130257,-49.009766,361.796875,19.512695,-13.894043,-1.234497,0.038403,0.053933,0.000000,0.654644
3,0.030000,19,-0.048471,-49.189453,363.921875,19.594727,-13.902832,-1.185608,0.038203,0.053843,0.000000,0.690957
4,0.040000,20,-0.129135,-49.005859,363.921875,19.365234,-13.753418,-1.149902,0.037792,0.053213,0.000000,0.695267
4,0.040000,21,0.038010,-49.277344,363.562500,19.635742,-13.898438,-1.202332,0.038228,0.054009,0.000000,0.683519
4,0.040000,22,0.041607,-49.101562,363.921875,19.553711,-13.975586,-1.168518,0.038403,0.053731,0.000000,0.719351
4,0.040000,23,-0.218307,-48.832031,364.265625,19.541992,-13.986816,-1.237793,0.038397,0.053648,0.000000,0.625514
4,0.040000,24,0.045980,-49.101562,363.921875,19.665039,-13.822266,-1.168274,0.037981,0.054036,0.000000,0.699157
5,0.050000,25,0.124699,-49.099609,362.500000,19.443359,-14.009766,-1.287109,0.038648,0.053637,0.000000,0.617163
5,0.050000,26,0.042320,-48.742188,361.437500,19.500977,-14.127930,-1.234192,0.039088,0.053954,0.000000,0.673334
5,0.050000,27,0.404358,-48.839844,363.562500,19.357422,-13.808594,-1.235474,0.037981,0.053244,0.000000,0.641059
5,0.050000,28,0.033920,-49.187500,361.453125,19.705078,-14.050781,-1.165222,0.038873,0.054516,0.000000,0.748695
5,0.050000,29,0.130501,-49.011719,362.156250,19.438477,-13.970215,-1.114685,0.038575,0.053674,0.000000,0.782952
6,0.060000,30,0.406006,-48.488281,362.500000,19.454102,-13.846680,-1.166687,0.038198,0.053666,0.000000,0.707244
6,0.060000,31,-0.034018,-48.658203,363.906250,19.572266,-13.826172,-1.201416,0.037994,0.053784,0.000000,0.645463
6,0.060000,32,0.033920,-49.181641,361.453125,19.519531,-13.974121,-1.199707,0.038661,0.054003,0.000000,0.703534
6,0.060000,33,-0.229591,-49.089844,361.453125,19.553711,-13.984863,-1.216858,0.038691,0.054097,0.000000,0.670041
6,0.060000,34,0.128815,-49.103516,362.156250,19.627930,-13.970215,-1.200500,0.038575,0.054197,0.000000,0.700654
7,0.070000,35,-0.123650,-48.382812,361.093750,19.414062,-13.905273,-1.113342,0.038509,0.053765,0.000000,0.743172
7,0.070000,36,-0.128654,-49.009766,364.609375,19.439453,-13.715820,-1.150696,0.037618,0.053316,0.000000,0.686087
7,0.070000,37,-0.225021,-48.822266,360.734375,19.542969,-14.100098,-1.183044,0.039087,0.054176,0.000000,0.713091
7,0.070000,38,-0.312256,-48.826172,362.500000,19.431641,-14.065430,-1.166870,0.038801,0.053605,0.000000,0.710905
7,0.070000,39,-0.308578,-49.091797,362.515625,19.553711,-13.759766,-1.149353,0.037956,0.053939,0.000000,0.697347
8,0.080000,40,-0.393402,-48.646484,361.796875,19.424805,-13.915527,-1.131409,0.038462,0.053690,0.000000,0.718524
8,0.080000,41,-0.313644,-49.087891,361.453125,19.405273,-13.912598,-1.216919,0.038491,0.053687,0.000000,0.655672
8,0.080000,42,-0.232208,-49.173828,360.031250,19.409180,-14.022949,-1.163574,0.038949,0.053910,0.000000,0.739191
8,0.080000,43,-0.399643,-48.904297,360.031250,19.473633,-13.800293,-1.249268,0.038331,0.054089,0.000000,0.603658
8,0.080000,44,-0.305725,-48.375000,359.687500,19.339844,-14.064453,-1.128906,0.039102,0.053768,0.000000,0.746208
9,0.090000,45,0.299576,-49.191406,362.156250,19.483398,-14.001953,-1.166260,0.038663,0.053798,0.000000,0.751731
9,0.090000,46,-0.578156,-48.548828,360.390625,19.531250,-14.114258,-1.062256,0.039164,0.054195,0.000000,0.807767
9,0.090000,47,0.221306,-48.564453,359.687500,19.310547,-14.081055,-1.094482,0.039148,0.053687,0.000000,0.818601
9,0.090000,48,0.138420,-48.302734,360.375000,19.559570,-14.009766,-1.163879,0.038876,0.054276,0.000000,0.721427
9,0.090000,49,-0.138069,-48.914062,361.093750,19.360352,-14.057129,-1.233765,0.038929,0.053616,0.000000,0.663023
10,0.100000,50,0.042088,-48.744141,361.093750,19.612305,-14.127441,-1.200623,0.039124,0.054314,0.000000,0.708730
10,0.100000,51,0.130020,-48.740234,360.375000,19.502930,-13.970703,-1.249817,0.038767,0.054118,0.000000,0.646738
10,0.100000,52,-0.132332,-48.382812,361.093750,19.413086,-14.211914,-1.132019,0.039358,0.053762,0.000000,0.765115
10,0.100000,53,0.387299,-48.925781,360.031250,19.658203,-14.111328,-1.199158,0.039195,0.054601,0.000000,0.739622
10,0.100000,54,0.564301,-48.929688,360.375000,19.583984,-14.180664,-1.234131,0.039350,0.054343,0.000000,0.721906
11,0.110000,55,0.482635,-48.574219,360.375000,19.569336,-14.147461,-1.199768,0.039258,0.054303,0.000000,0.733348
11,0.110000,56,0.565948,-48.933594,362.843750,19.507812,-14.373047,-1.203247,0.039612,0.053764,0.000000,0.765549
11,0.110000,57,0.217369,-48.392578,361.781250,19.486328,-14.387695,-1.253418,0.039769,0.053862,0.000000,0.682817
11,0.110000,58,0.394928,-48.576172,361.437500,19.678711,-14.228027,-1.235474,0.039365,0.054446,0.000000,0.698235
11,0.110000,59,0.836945,-48.585938,361.437500,19.642578,-14.247559,-1.235474,0.039419,0.054346,0.000000,0.725227
12,0.120000,60,0.482117,-48.664062,362.156250,19.498047,-14.185547,-1.183655,0.039170,0.053839,0.000000,0.748458
12,0.120000,61,0.751129,-48.222656,361.796875,19.368164,-14.441895,-1.202087,0.039917,0.053533,0.000000,0.763033
12,0.120000,62,0.573395,-48.488281,361.437500,19.416016,-14.259277,-1.201416,0.039452,0.053719,0.000000,0.742325
12,0.120000,63,0.914276,-48.941406,361.437500,19.692383,-14.472656,-1.287231,0.040042,0.054484,0.000000,0.722290
12,0.120000,64,0.735077,-49.287109,361.437500,19.559570,-14.289551,-1.166870,0.039535,0.054116,0.000000,0.821491
13,0.130000,65,0.646454,-49.283203,361.093750,19.597656,-14.254395,-1.372620,0.039476,0.054273,0.000000,0.607950
13,0.130000,66,0.567169,-48.574219,361.093750,19.567383,-14.526367,-1.235352,0.040229,0.054189,0.000000,0.749465
13,0.130000,67,1.260437,-49.296875,360.375000,19.746094,-14.457520,-1.268616,0.040118,0.054793,0.000000,0.778139
13,0.130000,68,0.482788,-48.671875,363.203125,19.756836,-14.300781,-1.220581,0.039374,0.054396,0.000000,0.722090
13,0.130000,69,0.831879,-48.845703,361.437500,19.616211,-14.286621,-1.252747,0.039527,0.054273,0.000000,0.723137
14,0.140000,70,0.655334,-48.578125,360.718750,19.752930,-14.445312,-1.251831,0.040046,0.054760,0.000000,0.729411
14,0.140000,71,0.381729,-49.011719,360.734375,19.474609,-14.494629,-1.338074,0.040181,0.053986,0.000000,0.651869
14,0.140000,72,0.553741,-49.017578,360.031250,19.623047,-14.524414,-1.233948,0.040342,0.054504,0.000000,0.773705
14,0.140000,73,0.460968,-49.285156,361.093750,19.707031,-14.566895,-1.252502,0.040341,0.054576,0.000000,0.760869
14,0.140000,74,0.643311,-49.464844,361.453125,19.789062,-14.178223,-1.166626,0.039226,0.054749,0.000000,0.808884
15,0.150000,75,0.285934,-49.369141,359.687500,19.823242,-14.343750,-1.130066,0.039878,0.055112,0.000000,0.854453
15,0.150000,76,0.292557,-49.371094,363.203125,19.599609,-14.269043,-1.237915,0.039287,0.053963,0.000000,0.717498
15,0.150000,77,0.111053,-49.273438,360.031250,19.634766,-14.466309,-1.233887,0.040181,0.054536,0.000000,0.752011
15,0.150000,78,0.288300,-49.275391,360.734375,19.412109,-14.459473,-1.149109,0.040083,0.053813,0.000000,0.841532
15,0.150000,79,0.554932,-49.195312,360.390625,19.630859,-14.372559,-1.285889,0.039880,0.054471,0.000000,0.706273
16,0.160000,80,0.196541,-49.449219,360.734375,19.604492,-14.424316,-1.269165,0.039986,0.054346,0.000000,0.718792
16,0.160000,81,-0.064320,-49.449219,360.734375,19.605469,-14.282227,-1.303467,0.039592,0.054349,0.000000,0.650835
16,0.160000,82,-0.336197,-49.523438,359.687500,19.534180,-14.445312,-1.267944,0.040161,0.054309,0.000000,0.702695
16,0.160000,83,0.020417,-49.449219,361.796875,19.491211,-14.508789,-1.305237,0.040102,0.053873,0.000000,0.678877
16,0.160000,84,0.103806,-49.447266,360.734375,19.603516,-14.542969,-1.200562,0.040315,0.054343,0.000000,0.798541
17,0.170000,85,-0.159927,-49.353516,360.390625,19.489258,-14.514648,-1.251709,0.040275,0.054078,0.000000,0.727344
17,0.170000,86,0.187363,-49.984375,362.156250,19.549805,-14.500977,-1.271179,0.040041,0.053982,0.000000,0.740343
17,0.170000,87,-0.335754,-49.525391,360.390625,19.496094,-14.445801,-1.251648,0.040084,0.054097,0.000000,0.715351
17,0.170000,88,-0.064846,-49.273438,361.453125,19.670898,-14.474121,-1.287354,0.040044,0.054422,0.000000,0.682236
17,0.170000,89,-0.421982,-49.173828,360.046875,19.704102,-14.564453,-1.286926,0.040452,0.054726,0.000000,0.679137
18,0.180000,90,0.453003,-49.992188,362.859375,19.587891,-14.490234,-1.203247,0.039933,0.053982,0.000000,0.817569
18,0.180000,91,0.013643,-49.441406,357.921875,19.603516,-14.429688,-1.248352,0.040315,0.054770,0.000000,0.745635
18,0.180000,92,-0.060213,-48.732422,359.687500,19.575195,-14.511230,-1.147522,0.040344,0.054423,0.000000,0.815262
18,0.180000,93,0.639008,-49.197266,360.390625,19.629883,-14.598633,-1.286072,0.040508,0.054468,0.000000,0.741607
18,0.180000,94,0.373154,-49.189453,359.328125,19.704102,-14.493652,-1.198547,0.040335,0.054836,0.000000,0.805992
19,0.190000,95,0.460159,-49.005859,358.625000,19.510742,-14.680664,-1.336853,0.040936,0.054404,0.000000,0.694284
19,0.190000,96,0.726440,-49.017578,360.375000,19.585938,-14.747070,-1.287598,0.040921,0.054349,0.000000,0.757754
19,0.190000,97,0.916992,-48.492188,359.312500,19.674805,-14.510254,-1.250122,0.040383,0.054757,0.000000,0.758368
19,0.190000,98,0.640961,-48.837891,359.687500,19.578125,-14.674805,-1.269409,0.040799,0.054431,0.000000,0.758004
19,0.190000,99,0.379654,-48.828125,358.968750,19.467773,-14.570312,-1.335876,0.040589,0.054233,0.000000,0.666616
20,0.200000,100,0.727997,-49.103516,358.625000,19.738281,-14.478516,-1.302063,0.040372,0.055039,0.000000,0.720427
20,0.200000,101,0.904510,-48.935547,359.687500,19.729492,-14.776855,-1.252136,0.041082,0.054852,0.000000,0.807872
20,0.200000,102,1.258423,-48.669922,358.968750,19.608398,-15.031250,-1.182739,0.041873,0.054624,0.000000,0.923977
20,0.200000,103,0.725800,-49.015625,359.328125,19.584961,-14.823730,-1.269165,0.041254,0.054504,0.000000,0.792486
20,0.200000,104,0.903503,-48.759766,359.687500,19.684570,-15.006348,-1.269592,0.041721,0.054727,0.000000,0.814136
21,0.210000,105,0.906525,-49.117188,361.437500,19.773438,-14.625977,-1.237183,0.040466,0.054708,0.000000,0.799994
21,0.210000,106,0.993103,-48.937500,360.031250,19.654297,-14.774414,-1.252747,0.041036,0.054591,0.000000,0.809690
21,0.210000,107,1.622742,-48.326172,358.609375,19.556641,-14.710938,-1.285217,0.041022,0.054535,0.000000,0.785723
