Format Version,1.0,
Take Name,230626_Group7_trial1_003,
Capture Frame Rate,500.00,
Export Frame Rate,100.00,
Capture Start Time,26 Jun 2023 16:58:51 +0900,
Total Frames In Take,373,
Total Exported Frames,1865,
Coordinate Space,Local,
Device Name,AMTI 10665M 10665M,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,5.00,

PlateLength,18.250000,
PlateWidth,20.000000,
PlateOrder,2,
PosX_PosY_X,-0.004609,
PosX_PosY_Y,0.004035,
PosX_PosY_Z,0.511387,
NegX_PosY_X,0.459686,
NegX_PosY_Y,0.001415,
NegX_PosY_Z,0.511726,
NegX_NegY_X,0.457833,
NegX_NegY_Y,0.008914,
NegX_NegY_Z,1.020820,
PosX_NegY_X,-0.006462,
PosX_NegY_Y,0.011534,
PosX_NegY_Z,1.020490,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
0,0.000000,0,-0.802429,-51.947266,359.296875,13.463379,9.983887,0.246529,-0.027787,0.037471,0.000000,-1.227013
0,0.000000,1,-1.241455,-51.769531,360.375000,13.418945,9.928223,0.346817,-0.027550,0.037236,0.000000,-1.125645
0,0.000000,2,-1.159424,-51.947266,360.734375,13.500488,9.893555,0.313934,-0.027426,0.037425,0.000000,-1.154171
0,0.000000,3,-0.893524,-52.214844,360.375000,13.549316,9.941895,0.297073,-0.027588,0.037598,0.000000,-1.177005
0,0.000000,4,-1.065857,-51.859375,360.359375,13.497070,10.011230,0.211884,-0.027781,0.037454,0.000000,-1.268755
1,0.010000,5,-0.984741,-52.126953,361.093750,13.545898,9.825195,0.244202,-0.027210,0.037514,0.000000,-1.211090
1,0.010000,6,-1.163086,-52.304688,362.156250,13.478516,9.856445,0.294724,-0.027216,0.037217,0.000000,-1.172088
1,0.010000,7,-1.069885,-52.214844,361.078125,13.625000,9.934570,0.416000,-0.027514,0.037734,0.000000,-1.060991
1,0.010000,8,-1.070007,-51.861328,360.734375,13.534668,9.896484,0.313934,-0.027434,0.037520,0.000000,-1.148990
1,0.010000,9,-1.064026,-51.679688,359.671875,13.565430,9.973145,0.246353,-0.027728,0.037716,0.000000,-1.226776
2,0.020000,10,-1.242737,-51.949219,362.125000,13.614258,10.003418,0.279068,-0.027624,0.037595,0.000000,-1.202709
2,0.020000,11,-1.245056,-51.771484,361.796875,13.568848,9.889160,0.194069,-0.027333,0.037504,0.000000,-1.267720
2,0.020000,12,-1.599304,-52.117188,360.359375,13.508301,9.989746,0.263016,-0.027722,0.037486,0.000000,-1.241708
2,0.020000,13,-1.597473,-51.939453,359.671875,13.576660,9.989746,0.280426,-0.027775,0.037747,0.000000,-1.222472
2,0.020000,14,-2.043701,-52.376953,361.796875,13.331543,10.086426,0.277832,-0.027879,0.036848,0.000000,-1.257676
3,0.030000,15,-1.776672,-51.941406,363.203125,13.463867,9.982422,0.345230,-0.027484,0.037070,0.000000,-1.148209
3,0.030000,16,-1.957764,-52.203125,361.093750,13.437500,9.861328,0.363480,-0.027310,0.037213,0.000000,-1.135022
3,0.030000,17,-2.130127,-51.941406,363.203125,13.463867,9.854492,0.277100,-0.027132,0.037070,0.000000,-1.211147
3,0.030000,18,-2.206177,-51.582031,361.765625,13.561523,10.190918,0.279251,-0.028170,0.037487,0.000000,-1.256515
3,0.030000,19,-1.863098,-52.119141,362.843750,13.697266,10.091309,0.193474,-0.027812,0.037750,0.000000,-1.326380
4,0.040000,20,-2.129150,-52.201172,363.203125,13.399414,10.157227,0.311127,-0.027966,0.036892,0.000000,-1.227265
