Format Version,1.23,Take Name,230626_Group7_trial2,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2023-06-26 04.59.24.660 오후,Capture Start Frame,542752,Total Frames in Take,424,Total Exported Frames,424,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,0.338894,0.081012,0.758943,0.229504,0.989740,0.722633,0.370138,0.081793,0.699056,0.293918,0.511614,0.759510,0.410038,0.976393,0.617194,0.296429,0.592394,0.758451,0.314460,0.422708,0.767159,0.199787,0.052005,0.773364,0.352092,0.079393,0.275324,0.201658,0.959264,0.450585,0.377029,0.076614,0.334368,0.295978,0.512832,0.348132,0.400836,0.965296,0.510844,0.291171,0.613198,0.357227,0.324448,0.379631,0.310245,0.191568,0.041827,0.247929,,,
7,0.070000,0.338917,0.080957,0.758981,0.229538,0.989714,0.723273,0.370143,0.081797,0.699156,0.293794,0.511573,0.760055,0.410090,0.976396,0.617795,0.296394,0.592371,0.758999,0.314416,0.422641,0.767563,0.199802,0.051988,0.773380,0.352086,0.079437,0.275405,0.201509,0.959088,0.451254,0.376984,0.076625,0.334479,0.295912,0.512771,0.348781,0.400846,0.965201,0.511409,0.291142,0.613166,0.357722,0.324421,0.379626,0.310674,0.191554,0.041821,0.247944,,,
8,0.080000,0.338936,0.080936,0.759021,0.229719,0.989711,0.723775,0.370203,0.081804,0.699248,0.293714,0.511546,0.760575,0.410038,0.976364,0.618400,0.296347,0.592366,0.759527,0.314351,0.422585,0.767908,0.199808,0.051989,0.773390,0.352061,0.079502,0.275499,0.201248,0.958703,0.451940,0.376971,0.076622,0.334572,0.295908,0.512709,0.349294,0.400497,0.964885,0.512198,0.291066,0.613065,0.358412,0.324441,0.379637,0.311070,0.191546,0.041823,0.247975,,,
9,0.090000,0.338963,0.080889,0.759038,0.230017,0.989636,0.724280,0.370235,0.081815,0.699321,0.293655,0.511530,0.761059,0.409848,0.976280,0.619069,0.296258,0.592357,0.760031,0.314253,0.422563,0.768241,0.199807,0.051959,0.773387,0.352035,0.079560,0.275595,0.201082,0.958437,0.452674,0.376948,0.076615,0.334675,0.295896,0.512811,0.349849,0.400474,0.964795,0.512811,0.291044,0.613028,0.359000,0.324489,0.379644,0.311496,0.191539,0.041840,0.247993,,,
10,0.100000,0.338977,0.080868,0.759076,0.229622,0.989761,0.725218,0.370261,0.081808,0.699403,0.293545,0.511491,0.761491,0.409637,0.976226,0.619776,0.296037,0.592305,0.760538,0.314092,0.422495,0.768597,0.199794,0.051963,0.773377,0.352032,0.079614,0.275700,0.200972,0.958306,0.453310,0.376920,0.076625,0.334770,0.295976,0.512788,0.350305,0.400426,0.964702,0.513377,0.291091,0.612973,0.359576,0.324570,0.379637,0.311858,0.191511,0.041844,0.248018,,,
11,0.110000,0.338975,0.080842,0.759105,0.229197,0.989841,0.725887,0.370310,0.081842,0.699446,0.293388,0.511450,0.761912,0.409527,0.976194,0.620356,0.295785,0.592250,0.761047,0.313903,0.422427,0.768930,0.199776,0.051949,0.773351,0.351987,0.079750,0.275846,0.200826,0.958188,0.453846,0.376894,0.076611,0.334898,0.296068,0.512761,0.350728,0.400331,0.964616,0.513938,0.291063,0.612863,0.360098,0.324644,0.379666,0.312189,0.191511,0.041851,0.248046,,,
12,0.120000,0.338968,0.080816,0.759135,0.228976,0.989874,0.726350,0.370320,0.081842,0.699512,0.293169,0.511377,0.762264,0.409443,0.976157,0.620865,0.295546,0.592197,0.761513,0.313657,0.422344,0.769230,0.199742,0.051935,0.773338,0.351979,0.079788,0.275954,0.200822,0.958027,0.454438,0.376888,0.076614,0.335004,0.296141,0.512726,0.351151,0.400259,0.964526,0.514487,0.291063,0.612836,0.360539,0.324717,0.379681,0.312509,0.191522,0.041861,0.248069,,,
13,0.130000,0.338950,0.080768,0.759165,0.228945,0.989898,0.726714,0.370334,0.081850,0.699556,0.292912,0.511332,0.762629,0.409426,0.976163,0.621414,0.295300,0.592166,0.761914,0.313448,0.422316,0.769517,0.199723,0.051940,0.773313,0.351977,0.079827,0.276035,0.200581,0.957965,0.455022,0.376876,0.076611,0.335119,0.296208,0.512687,0.351549,0.400206,0.964432,0.515029,0.291090,0.612784,0.361014,0.324806,0.379692,0.312819,0.191491,0.041858,0.248082,,,
14,0.140000,0.338910,0.080734,0.759184,0.228935,0.989918,0.726975,0.370351,0.081862,0.699610,0.292614,0.511282,0.762951,0.409242,0.976144,0.621927,0.295087,0.592123,0.762216,0.313263,0.422270,0.769750,0.199693,0.051940,0.773297,0.351983,0.079868,0.276112,0.200624,0.957828,0.455570,0.376848,0.076614,0.335219,0.296287,0.512672,0.351970,0.399903,0.964348,0.515701,0.291158,0.612725,0.361436,0.324892,0.379682,0.313124,0.191494,0.041853,0.248104,,,
15,0.150000,0.338895,0.080727,0.759220,0.228853,0.989918,0.727288,0.370339,0.081864,0.699632,0.292371,0.511222,0.763211,0.409029,0.976101,0.622469,0.294888,0.592142,0.762535,0.313097,0.422235,0.769934,0.199669,0.051932,0.773272,0.351969,0.079930,0.276186,0.200660,0.957733,0.455935,0.376822,0.076599,0.335314,0.296351,0.512649,0.352291,0.399876,0.964314,0.516171,0.291196,0.612657,0.361833,0.324945,0.379705,0.313377,0.191490,0.041878,0.248127,,,
16,0.160000,0.338873,0.080710,0.759245,0.228458,0.989943,0.727901,0.370368,0.081879,0.699699,0.292173,0.511164,0.763417,0.408847,0.976081,0.622956,0.294634,0.592103,0.762837,0.312966,0.422208,0.770096,0.199653,0.051931,0.773238,0.351964,0.079967,0.276254,0.200661,0.957635,0.456236,0.376799,0.076628,0.335428,0.296383,0.512622,0.352556,0.399887,0.964284,0.516609,0.291246,0.612663,0.362234,0.324964,0.379712,0.313600,0.191487,0.041890,0.248129,,,
17,0.170000,0.338898,0.080685,0.759242,0.227997,0.989938,0.728254,0.370413,0.081892,0.699728,0.291998,0.511145,0.763612,0.408642,0.976047,0.623389,0.294357,0.592092,0.763116,0.312841,0.422168,0.770249,0.199642,0.051946,0.773220,0.351956,0.080000,0.276321,0.200652,0.957569,0.456477,0.376770,0.076643,0.335533,0.296442,0.512611,0.352788,0.399856,0.964331,0.517003,0.291315,0.612654,0.362507,0.324998,0.379723,0.313770,0.191523,0.041904,0.248176,,,
18,0.180000,0.338897,0.080677,0.759239,0.227766,0.989913,0.728475,0.370433,0.081877,0.699798,0.291814,0.511090,0.763754,0.408507,0.976072,0.623801,0.294111,0.592028,0.763293,0.312679,0.422146,0.770382,0.199637,0.051930,0.773192,0.351935,0.080029,0.276374,0.200669,0.957501,0.456649,0.376715,0.076622,0.335602,0.296514,0.512610,0.352995,0.399856,0.964344,0.517377,0.291399,0.612628,0.362755,0.325035,0.379722,0.313934,0.191460,0.041903,0.248150,,,
19,0.190000,0.338885,0.080665,0.759260,0.227595,0.989916,0.728607,0.370457,0.081892,0.699829,0.291609,0.511069,0.763862,0.408356,0.976076,0.624179,0.293872,0.592020,0.763486,0.312480,0.422093,0.770509,0.199610,0.051930,0.773060,0.351932,0.080041,0.276417,0.200633,0.957454,0.456777,0.376695,0.076620,0.335696,0.296577,0.512587,0.353151,0.399842,0.964307,0.517748,0.291419,0.612628,0.362922,0.325086,0.379726,0.314081,0.191437,0.041886,0.248136,,,
20,0.200000,0.338856,0.080648,0.759264,0.227422,0.989898,0.728694,0.370458,0.081906,0.699854,0.291388,0.511037,0.763943,0.408267,0.976104,0.624499,0.293637,0.591997,0.763598,0.312228,0.422038,0.770608,0.199589,0.051947,0.773028,0.351939,0.080078,0.276468,0.200627,0.957422,0.456859,0.376676,0.076615,0.335788,0.296654,0.512579,0.353273,0.399829,0.964320,0.518050,0.291496,0.612587,0.363086,0.325160,0.379736,0.314224,0.191450,0.041889,0.248133,,,
21,0.210000,0.338828,0.080664,0.759237,0.227248,0.989893,0.728759,0.370449,0.081910,0.699880,0.291148,0.511035,0.763984,0.408108,0.976122,0.624819,0.293364,0.591998,0.763687,0.311845,0.421989,0.770647,0.199555,0.051970,0.772985,0.351871,0.080114,0.276546,0.200638,0.957414,0.456927,0.376667,0.076614,0.335852,0.296755,0.512573,0.353376,0.399793,0.964323,0.518292,0.291569,0.612579,0.363192,0.325232,0.379753,0.314311,0.191443,0.041910,0.248132,,,
22,0.220000,0.338773,0.080659,0.759234,0.227061,0.989862,0.728792,0.370429,0.081909,0.699886,0.290890,0.510989,0.764015,0.407948,0.976127,0.625054,0.293104,0.591958,0.763717,0.311588,0.421961,0.770702,0.199536,0.051962,0.772936,0.351874,0.080104,0.276567,0.200623,0.957422,0.456943,0.376666,0.076603,0.335876,0.296850,0.512563,0.353454,0.399792,0.964359,0.518486,0.291645,0.612572,0.363292,0.325304,0.379747,0.314394,0.191446,0.041899,0.248137,,,
23,0.230000,0.338738,0.080656,0.759214,0.226848,0.989841,0.728791,0.370418,0.081925,0.699903,0.290625,0.510957,0.764036,0.407791,0.976144,0.625236,0.292848,0.591912,0.763712,0.311329,0.421957,0.770742,0.199511,0.051965,0.772890,0.351891,0.080125,0.276584,0.200629,0.957432,0.456911,0.376660,0.076602,0.335909,0.296957,0.512564,0.353519,0.399770,0.964389,0.518620,0.291704,0.612567,0.363327,0.325402,0.379745,0.314446,0.191462,0.041904,0.248124,,,
24,0.240000,0.338697,0.080666,0.759204,0.226613,0.989755,0.728803,0.370396,0.081934,0.699900,0.290411,0.510945,0.764022,0.407629,0.976142,0.625376,0.292593,0.591868,0.763711,0.311128,0.421940,0.770743,0.199498,0.051967,0.772861,0.351998,0.080132,0.276566,0.200614,0.957466,0.456850,0.376673,0.076589,0.335932,0.297060,0.512574,0.353530,0.399726,0.964435,0.518696,0.291807,0.612553,0.363337,0.325493,0.379758,0.314481,0.191464,0.041901,0.248103,,,
25,0.250000,0.338680,0.080680,0.759188,0.226357,0.989673,0.728740,0.370415,0.081928,0.699913,0.290171,0.510886,0.764017,0.407474,0.976110,0.625442,0.292331,0.591819,0.763648,0.310974,0.421903,0.770711,0.199490,0.051958,0.772842,0.351901,0.080070,0.276587,0.200633,0.957467,0.456744,0.376671,0.076573,0.335953,0.297168,0.512575,0.353513,0.399668,0.964449,0.518762,0.291909,0.612554,0.363313,0.325588,0.379746,0.314481,0.191482,0.041903,0.248074,,,
26,0.260000,0.338676,0.080681,0.759171,0.226089,0.989651,0.728639,0.370414,0.081956,0.699908,0.290017,0.510886,0.763936,0.407331,0.976116,0.625462,0.292134,0.591809,0.763557,0.310866,0.421911,0.770634,0.199467,0.051977,0.772819,0.352007,0.080091,0.276552,0.200628,0.957521,0.456616,0.376683,0.076568,0.335955,0.297253,0.512594,0.353437,0.399656,0.964477,0.518784,0.291983,0.612590,0.363232,0.325656,0.379752,0.314437,0.191469,0.041899,0.248066,,,
27,0.270000,0.338656,0.080683,0.759152,0.225796,0.989473,0.728416,0.370406,0.081928,0.699896,0.289861,0.510904,0.763783,0.407148,0.976112,0.625458,0.291993,0.591810,0.763422,0.310789,0.421924,0.770527,0.199453,0.051975,0.772805,0.352034,0.080107,0.276554,0.200596,0.957568,0.456403,0.376704,0.076569,0.335943,0.297359,0.512630,0.353365,0.399619,0.964536,0.518750,0.292131,0.612557,0.363039,0.325730,0.379756,0.314375,0.191473,0.041897,0.248031,,,
28,0.280000,0.338672,0.080696,0.759135,0.225648,0.989351,0.728284,0.370420,0.081928,0.699884,0.289709,0.510907,0.763598,0.406987,0.976097,0.625437,0.291837,0.591822,0.763272,0.310720,0.421921,0.770404,0.199469,0.051976,0.772790,0.352045,0.080093,0.276531,0.200636,0.957601,0.456147,0.376714,0.076553,0.335923,0.297412,0.512635,0.353231,0.399573,0.964582,0.518701,0.292217,0.612591,0.362897,0.325778,0.379741,0.314301,0.191489,0.041901,0.248013,,,
