Format Version,1.0,
Take Name,230626_Group7_trial1_002,
Capture Frame Rate,500.00,
Export Frame Rate,100.00,
Capture Start Time,26 Jun 2023 16:58:45 +0900,
Total Frames In Take,403,
Total Exported Frames,2015,
Coordinate Space,Local,
Device Name,AMTI 10665M 10665M,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,5.00,

PlateLength,18.250000,
PlateWidth,20.000000,
PlateOrder,2,
PosX_PosY_X,-0.004609,
PosX_PosY_Y,0.004035,
PosX_PosY_Z,0.511387,
NegX_PosY_X,0.459686,
NegX_PosY_Y,0.001415,
NegX_PosY_Z,0.511726,
NegX_NegY_X,0.457833,
NegX_NegY_Y,0.008914,
NegX_NegY_Z,1.020820,
PosX_NegY_X,-0.006462,
PosX_NegY_Y,0.011534,
PosX_NegY_Z,1.020490,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
0,0.000000,0,-0.656830,-49.080078,366.281250,16.381836,13.826172,1.083252,-0.037747,0.044725,0.000000,-0.798771
0,0.000000,1,-0.745422,-48.730469,365.921875,16.517578,13.596680,1.083618,-0.037157,0.045140,0.000000,-0.760724
0,0.000000,2,-1.101562,-49.080078,368.062500,16.420898,13.657715,1.116455,-0.037107,0.044614,0.000000,-0.753908
0,0.000000,3,-0.750092,-49.169922,367.000000,16.460938,13.633301,1.082947,-0.037148,0.044853,0.000000,-0.777259
0,0.000000,4,-0.666443,-49.523438,366.656250,16.400391,13.637695,1.066101,-0.037195,0.044730,0.000000,-0.805722
1,0.010000,5,-0.312454,-49.439453,365.937500,16.247070,13.652832,1.184204,-0.037309,0.044398,0.000000,-0.674214
1,0.010000,6,-0.838226,-49.078125,365.937500,16.344727,13.518066,1.083557,-0.036941,0.044665,0.000000,-0.766873
1,0.010000,7,-0.573944,-49.171875,366.296875,16.385742,13.640625,1.134338,-0.037239,0.044734,0.000000,-0.722460
1,0.010000,8,-0.667236,-49.613281,367.000000,16.329102,13.601074,1.047485,-0.037060,0.044493,0.000000,-0.820878
1,0.010000,9,-0.395264,-49.441406,367.343750,16.358398,13.799805,1.167664,-0.037566,0.044532,0.000000,-0.707277
2,0.020000,10,-0.841797,-49.433594,367.000000,16.284180,13.593750,1.098572,-0.037040,0.044371,0.000000,-0.769809
2,0.020000,11,-0.215248,-49.173828,367.343750,16.198242,13.919434,1.064148,-0.037892,0.044096,0.000000,-0.808644
2,0.020000,12,-0.311371,-49.703125,365.921875,16.407227,13.690918,1.185608,-0.037415,0.044838,0.000000,-0.687989
2,0.020000,13,-0.662262,-49.261719,367.703125,16.351562,13.637695,1.115234,-0.037089,0.044469,0.000000,-0.741278
2,0.020000,14,-0.581116,-49.794922,367.000000,16.486328,13.604492,1.065918,-0.037069,0.044922,0.000000,-0.806058
3,0.030000,15,-0.755310,-49.613281,367.359375,16.329102,13.634277,1.115356,-0.037114,0.044450,0.000000,-0.759578
3,0.030000,16,-0.489990,-49.171875,366.296875,16.311523,13.418457,1.098938,-0.036633,0.044531,0.000000,-0.724182
3,0.030000,17,-0.579437,-49.263672,366.296875,16.426758,13.415039,1.083435,-0.036623,0.044845,0.000000,-0.746754
3,0.030000,18,-0.579742,-49.613281,365.937500,16.253906,13.604980,0.996979,-0.037178,0.044417,0.000000,-0.873315
3,0.030000,19,-0.309158,-49.173828,365.937500,16.310547,13.500977,1.100586,-0.036894,0.044572,0.000000,-0.727424
4,0.040000,20,-1.013733,-49.519531,368.750000,16.287109,13.812500,1.012451,-0.037458,0.044168,0.000000,-0.887208
4,0.040000,21,-1.196838,-49.253906,367.703125,16.352539,13.541504,1.013184,-0.036827,0.044472,0.000000,-0.853929
4,0.040000,22,-0.755035,-49.261719,367.703125,16.313477,13.559570,1.081177,-0.036876,0.044366,0.000000,-0.768916
4,0.040000,23,-0.312180,-49.433594,366.296875,16.132812,13.652832,1.115906,-0.037273,0.044043,0.000000,-0.740362
4,0.040000,24,-0.218796,-49.185547,368.421875,16.611328,13.578613,1.099243,-0.036856,0.045088,0.000000,-0.723412
5,0.050000,25,-0.750488,-49.339844,363.796875,16.355469,13.710449,1.203735,-0.037687,0.044958,0.000000,-0.689480
5,0.050000,26,-0.657104,-49.080078,365.921875,16.344727,13.751465,1.032410,-0.037580,0.044667,0.000000,-0.841387
5,0.050000,27,-0.929810,-49.171875,368.765625,16.385742,13.589355,1.029541,-0.036851,0.044434,0.000000,-0.823803
5,0.050000,28,-0.668060,-49.701172,367.359375,16.369141,13.562988,1.047241,-0.036920,0.044559,0.000000,-0.817505
5,0.050000,29,-0.667206,-49.703125,368.421875,16.520508,13.637695,0.997101,-0.037017,0.044841,0.000000,-0.872654
6,0.060000,30,-0.661743,-49.175781,367.000000,16.537109,13.599609,1.134094,-0.037056,0.045060,0.000000,-0.717989
6,0.060000,31,-0.837311,-49.525391,368.406250,16.476562,13.781250,1.099121,-0.037408,0.044724,0.000000,-0.790960
6,0.060000,32,-1.374390,-49.341797,368.062500,16.393555,13.534180,1.115051,-0.036771,0.044540,0.000000,-0.760532
6,0.060000,33,-0.928192,-49.251953,366.625000,16.277344,13.703613,1.049011,-0.037378,0.044398,0.000000,-0.833125
6,0.060000,34,-0.847015,-49.523438,367.359375,16.325195,13.517578,1.064331,-0.036797,0.044439,0.000000,-0.795604
7,0.070000,35,-0.930664,-49.166016,367.703125,16.199219,13.551758,1.047058,-0.036855,0.044055,0.000000,-0.805964
7,0.070000,36,-0.755310,-49.349609,368.765625,16.355469,13.559082,1.148621,-0.036769,0.044352,0.000000,-0.699407
7,0.070000,37,-0.576447,-49.699219,365.921875,16.294922,13.680176,1.168579,-0.037386,0.044531,0.000000,-0.715121
7,0.070000,38,-1.203186,-49.695312,366.656250,16.332031,13.504883,1.030701,-0.036833,0.044543,0.000000,-0.853298
7,0.070000,39,-0.666138,-49.263672,368.421875,16.464844,13.562012,1.099243,-0.036811,0.044690,0.000000,-0.743976
8,0.080000,40,-1.289368,-49.517578,366.656250,16.325195,13.500000,1.115845,-0.036819,0.044525,0.000000,-0.764763
8,0.080000,41,-1.373840,-49.166016,365.937500,16.499023,13.458496,1.083618,-0.036778,0.045087,0.000000,-0.786558
8,0.080000,42,-0.753967,-49.525391,367.703125,16.362305,13.672363,1.116516,-0.037183,0.044499,0.000000,-0.758545
8,0.080000,43,-0.758636,-49.437500,365.937500,16.433594,13.445801,1.100586,-0.036743,0.044908,0.000000,-0.749987
