Format Version,1.0,
Take Name,230626_Group7_trial2_001,
Capture Frame Rate,500.00,
Export Frame Rate,100.00,
Capture Start Time,26 Jun 2023 16:59:34 +0900,
Total Frames In Take,339,
Total Exported Frames,1695,
Coordinate Space,Local,
Device Name,AMTI 10666M 10666M,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,5.00,

PlateLength,18.250000,
PlateWidth,20.000000,
PlateOrder,1,
PosX_PosY_X,0.464372,
PosX_PosY_Y,-0.000098,
PosX_PosY_Z,0.507728,
NegX_PosY_X,-0.000027,
NegX_PosY_Y,-0.000085,
NegX_PosY_Z,0.509102,
NegX_NegY_X,-0.000016,
NegX_NegY_Y,-0.000056,
NegX_NegY_Z,0.000019,
PosX_NegY_X,0.464383,
PosX_NegY_Y,-0.000070,
PosX_NegY_Z,-0.001356,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
0,0.000000,0,6.443115,-59.236328,326.531250,8.583496,-17.857422,-3.619507,0.054688,0.026287,0.000000,-0.210606
0,0.000000,1,6.275146,-58.521484,324.750000,8.702637,-17.977539,-3.634033,0.055358,0.026798,0.000000,-0.226234
0,0.000000,2,6.537354,-58.701172,324.750000,8.487793,-17.854492,-3.773315,0.054979,0.026136,0.000000,-0.375110
0,0.000000,3,6.450439,-58.615234,325.109375,8.632812,-17.932617,-3.721436,0.055159,0.026554,0.000000,-0.317012
0,0.000000,4,6.265137,-59.052734,324.406250,8.724609,-17.939453,-3.617432,0.055299,0.026894,0.000000,-0.183359
1,0.010000,5,6.006836,-58.871094,325.125000,8.606445,-17.722656,-3.653442,0.054510,0.026471,0.000000,-0.285354
1,0.010000,6,6.453857,-58.429688,324.750000,8.365234,-17.933594,-3.652344,0.055223,0.025759,0.000000,-0.259450
1,0.010000,7,6.983398,-58.982422,327.593750,8.572266,-17.761719,-3.639771,0.054219,0.026167,0.000000,-0.259081
1,0.010000,8,6.813965,-58.533203,325.109375,8.555664,-17.690430,-3.705566,0.054414,0.026316,0.000000,-0.341235
1,0.010000,9,7.069092,-58.888672,325.468750,8.495605,-17.794922,-3.652954,0.054675,0.026103,0.000000,-0.248709
