Format Version,1.23,Take Name,230626_Group7_trial1_000,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2023-06-26 04.58.05.553 오후,Capture Start Frame,534842,Total Frames in Take,432,Total Exported Frames,432,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Skeleton:LANK,Skeleton:LANK,Skeleton:LANK,Skeleton:LASI,Skeleton:LASI,Skeleton:LASI,Skeleton:LHEE,Skeleton:LHEE,Skeleton:LHEE,Skeleton:LKNE,Skeleton:LKNE,Skeleton:LKNE,Skeleton:LPSI,Skeleton:LPSI,Skeleton:LPSI,Skeleton:LTHI,Skeleton:LTHI,Skeleton:LTHI,Skeleton:LTIB,Skeleton:LTIB,Skeleton:LTIB,Skeleton:LTOE,Skeleton:LTOE,Skeleton:LTOE,Skeleton:RANK,Skeleton:RANK,Skeleton:RANK,Skeleton:RASI,Skeleton:RASI,Skeleton:RASI,Skeleton:RHEE,Skeleton:RHEE,Skeleton:RHEE,Skeleton:RKNE,Skeleton:RKNE,Skeleton:RKNE,Skeleton:RPSI,Skeleton:RPSI,Skeleton:RPSI,Skeleton:RTHI,Skeleton:RTHI,Skeleton:RTHI,Skeleton:RTIB,Skeleton:RTIB,Skeleton:RTIB,Skeleton:RTOE,Skeleton:RTOE,Skeleton:RTOE
,ID,"2E0C536E13F711EEAF36E19734FCBCA0","2E0C536E13F711EEAF36E19734FCBCA0","2E0C536E13F711EEAF36E19734FCBCA0","2E0C537713F711EEAF36E19734FCBCA0","2E0C537713F711EEAF36E19734FCBCA0","2E0C537713F711EEAF36E19734FCBCA0","2E0C536D13F711EEAF36E19734FCBCA0","2E0C536D13F711EEAF36E19734FCBCA0","2E0C536D13F711EEAF36E19734FCBCA0","2E0C537113F711EEAF36E19734FCBCA0","2E0C537113F711EEAF36E19734FCBCA0","2E0C537113F711EEAF36E19734FCBCA0","2E0C537513F711EEAF36E19734FCBCA0","2E0C537513F711EEAF36E19734FCBCA0","2E0C537513F711EEAF36E19734FCBCA0","2E0C537313F711EEAF36E19734FCBCA0","2E0C537313F711EEAF36E19734FCBCA0","2E0C537313F711EEAF36E19734FCBCA0","2E0C537013F711EEAF36E19734FCBCA0","2E0C537013F711EEAF36E19734FCBCA0","2E0C537013F711EEAF36E19734FCBCA0","2E0C536C13F711EEAF36E19734FCBCA0","2E0C536C13F711EEAF36E19734FCBCA0","2E0C536C13F711EEAF36E19734FCBCA0","2E0C537213F711EEAF36E19734FCBCA0","2E0C537213F711EEAF36E19734FCBCA0","2E0C537213F711EEAF36E19734FCBCA0","2E0C537613F711EEAF36E19734FCBCA0","2E0C537613F711EEAF36E19734FCBCA0","2E0C537613F711EEAF36E19734FCBCA0","2E0C536F13F711EEAF36E19734FCBCA0","2E0C536F13F711EEAF36E19734FCBCA0","2E0C536F13F711EEAF36E19734FCBCA0","2E0C536A13F711EEAF36E19734FCBCA0","2E0C536A13F711EEAF36E19734FCBCA0","2E0C536A13F711EEAF36E19734FCBCA0","2E0C537413F711EEAF36E19734FCBCA0","2E0C537413F711EEAF36E19734FCBCA0","2E0C537413F711EEAF36E19734FCBCA0","2E0C536813F711EEAF36E19734FCBCA0","2E0C536813F711EEAF36E19734FCBCA0","2E0C536813F711EEAF36E19734FCBCA0","2E0C536913F711EEAF36E19734FCBCA0","2E0C536913F711EEAF36E19734FCBCA0","2E0C536913F711EEAF36E19734FCBCA0","2E0C536B13F711EEAF36E19734FCBCA0","2E0C536B13F711EEAF36E19734FCBCA0","2E0C536B13F711EEAF36E19734FCBCA0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.336529,0.083685,0.715154,0.207932,0.983578,0.634224,0.365316,0.080795,0.654601,0.298933,0.513465,0.678464,0.378678,0.988038,0.519739,0.297485,0.592565,0.670710,0.318230,0.425931,0.692511,0.196442,0.051414,0.738023,0.343120,0.076392,0.265675,0.163972,0.970048,0.364030,0.373234,0.079423,0.322772,0.269403,0.513176,0.288625,0.365581,0.986798,0.413548,0.256884,0.615083,0.286811,0.301487,0.376642,0.265413,0.182816,0.041574,0.253010
1,0.010000,0.336551,0.083694,0.715123,0.207776,0.983612,0.634351,0.365295,0.080791,0.654537,0.299102,0.513498,0.678411,0.378619,0.988214,0.519802,0.297630,0.592592,0.670637,0.318381,0.425956,0.692441,0.196453,0.051418,0.738044,0.343117,0.076407,0.265684,0.163937,0.970012,0.364096,0.373229,0.079409,0.322783,0.269510,0.513193,0.288710,0.365536,0.986867,0.413651,0.256897,0.615076,0.286911,0.301557,0.376656,0.265472,0.182829,0.041576,0.253009
2,0.020000,0.336580,0.083692,0.715112,0.207595,0.983643,0.634494,0.365314,0.080776,0.654526,0.299219,0.513529,0.678387,0.378455,0.988289,0.519952,0.297723,0.592637,0.670579,0.318487,0.425961,0.692412,0.196450,0.051408,0.738068,0.343125,0.076408,0.265696,0.163908,0.969961,0.364107,0.373228,0.079409,0.322810,0.269588,0.513202,0.288779,0.365469,0.986907,0.413747,0.256963,0.615087,0.286987,0.301639,0.376681,0.265531,0.182821,0.041591,0.253018
3,0.030000,0.336589,0.083687,0.715120,0.207867,0.983498,0.634922,0.365339,0.080786,0.654529,0.299278,0.513549,0.678382,0.378239,0.988316,0.520226,0.297755,0.592641,0.670542,0.318534,0.425969,0.692393,0.196476,0.051411,0.738068,0.343131,0.076429,0.265722,0.163877,0.969978,0.364149,0.373238,0.079400,0.322823,0.269690,0.513226,0.288835,0.365372,0.987016,0.413903,0.257069,0.615093,0.287084,0.301708,0.376714,0.265580,0.182800,0.041585,0.253004
4,0.040000,0.336596,0.083696,0.715145,0.208090,0.983139,0.635288,0.365347,0.080807,0.654564,0.299257,0.513576,0.678430,0.378024,0.988378,0.520502,0.297698,0.592670,0.670584,0.318490,0.425975,0.692442,0.196491,0.051397,0.738071,0.343161,0.076436,0.265737,0.163868,0.969958,0.364177,0.373228,0.079407,0.322863,0.269825,0.513233,0.288898,0.365247,0.987071,0.414151,0.257270,0.615059,0.287069,0.301800,0.376723,0.265649,0.182796,0.041580,0.253008
5,0.050000,0.336591,0.083676,0.715176,0.206753,0.983456,0.634755,0.365362,0.080794,0.654617,0.299138,0.513584,0.678516,0.377801,0.988417,0.520824,0.297562,0.592692,0.670691,0.318377,0.425978,0.692520,0.196478,0.051388,0.738060,0.343177,0.076455,0.265761,0.163878,0.969964,0.364161,0.373233,0.079394,0.322896,0.269976,0.513263,0.288978,0.365193,0.987180,0.414424,0.257461,0.615080,0.287168,0.301897,0.376750,0.265712,0.182792,0.041588,0.252991
