Format Version,1.23,Take Name,230626_Group7_trial1_002,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2023-06-26 04.58.45.072 오후,Capture Start Frame,538794,Total Frames in Take,403,Total Exported Frames,403,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Skeleton:LANK,Skeleton:LANK,Skeleton:LANK,Skeleton:LASI,Skeleton:LASI,Skeleton:LASI,Skeleton:LHEE,Skeleton:LHEE,Skeleton:LHEE,Skeleton:LKNE,Skeleton:LKNE,Skeleton:LKNE,Skeleton:LPSI,Skeleton:LPSI,Skeleton:LPSI,Skeleton:LTHI,Skeleton:LTHI,Skeleton:LTHI,Skeleton:LTIB,Skeleton:LTIB,Skeleton:LTIB,Skeleton:LTOE,Skeleton:LTOE,Skeleton:LTOE,Skeleton:RANK,Skeleton:RANK,Skeleton:RANK,Skeleton:RASI,Skeleton:RASI,Skeleton:RASI,Skeleton:RHEE,Skeleton:RHEE,Skeleton:RHEE,Skeleton:RKNE,Skeleton:RKNE,Skeleton:RKNE,Skeleton:RPSI,Skeleton:RPSI,Skeleton:RPSI,Skeleton:RTHI,Skeleton:RTHI,Skeleton:RTHI,Skeleton:RTIB,Skeleton:RTIB,Skeleton:RTIB,Skeleton:RTOE,Skeleton:RTOE,Skeleton:RTOE
,ID,"459AA31113F711EEAF36E19734FCBCA0","459AA31113F711EEAF36E19734FCBCA0","459AA31113F711EEAF36E19734FCBCA0","459AA31213F711EEAF36E19734FCBCA0","459AA31213F711EEAF36E19734FCBCA0","459AA31213F711EEAF36E19734FCBCA0","459AA30D13F711EEAF36E19734FCBCA0","459AA30D13F711EEAF36E19734FCBCA0","459AA30D13F711EEAF36E19734FCBCA0","459AA31313F711EEAF36E19734FCBCA0","459AA31313F711EEAF36E19734FCBCA0","459AA31313F711EEAF36E19734FCBCA0","459AA31613F711EEAF36E19734FCBCA0","459AA31613F711EEAF36E19734FCBCA0","459AA31613F711EEAF36E19734FCBCA0","459AA31413F711EEAF36E19734FCBCA0","459AA31413F711EEAF36E19734FCBCA0","459AA31413F711EEAF36E19734FCBCA0","459AA31513F711EEAF36E19734FCBCA0","459AA31513F711EEAF36E19734FCBCA0","459AA31513F711EEAF36E19734FCBCA0","459AA30C13F711EEAF36E19734FCBCA0","459AA30C13F711EEAF36E19734FCBCA0","459AA30C13F711EEAF36E19734FCBCA0","459AA30F13F711EEAF36E19734FCBCA0","459AA30F13F711EEAF36E19734FCBCA0","459AA30F13F711EEAF36E19734FCBCA0","459AA31013F711EEAF36E19734FCBCA0","459AA31013F711EEAF36E19734FCBCA0","459AA31013F711EEAF36E19734FCBCA0","459AA30E13F711EEAF36E19734FCBCA0","459AA30E13F711EEAF36E19734FCBCA0","459AA30E13F711EEAF36E19734FCBCA0","459AA30A13F711EEAF36E19734FCBCA0","459AA30A13F711EEAF36E19734FCBCA0","459AA30A13F711EEAF36E19734FCBCA0","459AA31713F711EEAF36E19734FCBCA0","459AA31713F711EEAF36E19734FCBCA0","459AA31713F711EEAF36E19734FCBCA0","459AA30813F711EEAF36E19734FCBCA0","459AA30813F711EEAF36E19734FCBCA0","459AA30813F711EEAF36E19734FCBCA0","459AA30913F711EEAF36E19734FCBCA0","459AA30913F711EEAF36E19734FCBCA0","459AA30913F711EEAF36E19734FCBCA0","459AA30B13F711EEAF36E19734FCBCA0","459AA30B13F711EEAF36E19734FCBCA0","459AA30B13F711EEAF36E19734FCBCA0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.336267,0.083614,0.730944,0.188981,0.983703,0.650030,0.365451,0.081132,0.670771,0.287957,0.513764,0.697623,0.375794,0.979161,0.556810,0.284493,0.593004,0.691188,0.310517,0.426188,0.709827,0.196323,0.051375,0.751742,0.340499,0.076676,0.292057,0.175899,0.972750,0.374805,0.370781,0.079442,0.349089,0.274167,0.514876,0.312248,0.371423,0.979208,0.448348,0.263646,0.617069,0.309580,0.304172,0.377588,0.289984,0.179129,0.041582,0.280797
1,0.010000,0.336258,0.083591,0.730942,0.188972,0.983702,0.650074,0.365440,0.081135,0.670778,0.287966,0.513760,0.697639,0.375862,0.979157,0.556904,0.284481,0.593025,0.691230,0.310504,0.426195,0.709852,0.196326,0.051375,0.751754,0.340481,0.076669,0.292067,0.175833,0.972697,0.374871,0.370773,0.079456,0.349106,0.274100,0.514864,0.312288,0.371322,0.979205,0.448397,0.263594,0.617086,0.309614,0.304120,0.377590,0.290001,0.179116,0.041595,0.280812
2,0.020000,0.336254,0.083580,0.730950,0.188951,0.983691,0.650140,0.365436,0.081127,0.670773,0.287953,0.513759,0.697682,0.377156,0.979932,0.556340,0.284491,0.593004,0.691252,0.310499,0.426176,0.709890,0.196309,0.051365,0.751752,0.340487,0.076669,0.292082,0.175757,0.972683,0.374929,0.370772,0.079455,0.349110,0.274069,0.514880,0.312332,0.371284,0.979229,0.448401,0.263538,0.617070,0.309666,0.304071,0.377594,0.290013,0.179111,0.041590,0.280819
3,0.030000,0.336256,0.083580,0.730939,0.188955,0.983693,0.650176,0.365410,0.081141,0.670790,0.287947,0.513751,0.697714,0.377067,0.979842,0.556333,0.284461,0.592984,0.691266,0.310443,0.426170,0.709902,0.196314,0.051357,0.751747,0.340471,0.076668,0.292082,0.175689,0.972672,0.374977,0.370771,0.079456,0.349109,0.274030,0.514853,0.312366,0.371259,0.979230,0.448374,0.263452,0.617064,0.309707,0.304020,0.377605,0.290042,0.179112,0.041586,0.280819
4,0.040000,0.336263,0.083591,0.730958,0.188922,0.983697,0.650234,0.365410,0.081133,0.670758,0.287913,0.513757,0.697746,0.377076,0.979887,0.556358,0.284434,0.592975,0.691288,0.310431,0.426174,0.709909,0.196335,0.051350,0.751760,0.340464,0.076670,0.292076,0.175533,0.972636,0.375064,0.370779,0.079474,0.349102,0.273911,0.514869,0.312443,0.371180,0.979213,0.448450,0.263405,0.617029,0.309738,0.304015,0.377602,0.290061,0.179105,0.041589,0.280819
5,0.050000,0.336268,0.083589,0.730946,0.188903,0.983696,0.650280,0.365423,0.081150,0.670785,0.287900,0.513744,0.697762,0.377038,0.979833,0.556344,0.284438,0.593003,0.691346,0.310415,0.426171,0.709931,0.196332,0.051361,0.751767,0.340447,0.076691,0.292067,0.175433,0.972626,0.375115,0.370758,0.079474,0.349108,0.273884,0.514874,0.312464,0.371111,0.979241,0.448436,0.263361,0.617049,0.309754,0.303979,0.377617,0.290065,0.179103,0.041591,0.280820
6,0.060000,0.336264,0.083593,0.730946,0.188843,0.983701,0.650335,0.365423,0.081149,0.670774,0.287882,0.513743,0.697771,0.377098,0.979937,0.556366,0.284419,0.592977,0.691351,0.310399,0.426174,0.709939,0.196328,0.051364,0.751761,0.340419,0.076697,0.292090,0.175352,0.972593,0.375163,0.370756,0.079475,0.349114,0.273839,0.514859,0.312522,0.371029,0.979230,0.448434,0.263304,0.617042,0.309749,0.303967,0.377623,0.290089,0.179082,0.041603,0.280829
