Format Version,1.0,
Take Name,230626_Group7_trial2_000,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,26 Jun 2023 16:59:29 +0900,
Total Frames In Take,367,
Total Exported Frames,3670,
Coordinate Space,Local,
Device Name,Trigno 2883,
Device Type,0,
Device Channel Count,2,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Sensor 1,Sensor 2
0,0.000000,0,-0.012649,-0.016375
0,0.000000,1,-0.021063,-0.051034
0,0.000000,2,-0.039505,-0.057771
0,0.000000,3,-0.036959,-0.070170
0,0.000000,4,-0.024263,-0.093647
0,0.000000,5,-0.004251,-0.104490
0,0.000000,6,0.006856,-0.090218
0,0.000000,7,0.009804,-0.085107
0,0.000000,8,0.008593,-0.089560
0,0.000000,9,0.010632,-0.074487
1,0.010000,10,0.012417,-0.025786
1,0.010000,11,0.011372,-0.027117
1,0.010000,12,0.008079,-0.056489
1,0.010000,13,0.009690,-0.100344
1,0.010000,14,0.006871,-0.005514
1,0.010000,15,0.003379,0.104089
1,0.010000,16,0.002313,0.069275
1,0.010000,17,0.002045,0.001428
1,0.010000,18,0.000117,-0.052624
1,0.010000,19,0.000096,-0.111876
2,0.020000,20,0.000079,-0.224282
2,0.020000,21,0.000065,-0.323874
2,0.020000,22,0.000054,-0.199620
2,0.020000,23,0.000045,-0.016923
2,0.020000,24,0.000037,0.060993
2,0.020000,25,0.000030,0.087141
2,0.020000,26,0.000024,0.069970
2,0.020000,27,0.000018,-0.012747
2,0.020000,28,0.000013,-0.064755
2,0.020000,29,0.000009,-0.082240
3,0.030000,30,0.000005,-0.056425
3,0.030000,31,0.000002,-0.060128
3,0.030000,32,0.002084,-0.059724
3,0.030000,33,-0.001421,-0.058264
3,0.030000,34,-0.004332,-0.071195
3,0.030000,35,-0.003502,-0.054500
3,0.030000,36,-0.006227,-0.103195
3,0.030000,37,-0.020862,-0.079942
3,0.030000,38,-0.022993,0.005475
3,0.030000,39,0.005437,-0.045498
4,0.040000,40,0.041470,-0.136681
4,0.040000,41,0.049244,-0.166603
4,0.040000,42,0.034142,-0.094052
4,0.040000,43,0.013138,0.002523
4,0.040000,44,0.000027,0.102779
4,0.040000,45,-0.013501,0.032170
4,0.040000,46,-0.035411,-0.010074
4,0.040000,47,-0.041347,-0.048104
4,0.040000,48,-0.042023,-0.043192
4,0.040000,49,-0.017085,-0.028476
5,0.050000,50,0.010083,-0.062561
5,0.050000,51,0.023582,-0.091781
5,0.050000,52,0.028280,-0.092523
5,0.050000,53,0.034811,-0.105063
5,0.050000,54,0.038202,-0.146446
5,0.050000,55,0.027536,-0.198453
5,0.050000,56,0.014607,-0.180575
