Format Version,1.23,Take Name,230626_Group7_trial1_004,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2023-06-26 04.58.56.912 오후,Capture Start Frame,539977,Total Frames in Take,341,Total Exported Frames,341,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Skeleton:LANK,Skeleton:LANK,Skeleton:LANK,Skeleton:LASI,Skeleton:LASI,Skeleton:LASI,Skeleton:LHEE,Skeleton:LHEE,Skeleton:LHEE,Skeleton:LKNE,Skeleton:LKNE,Skeleton:LKNE,Skeleton:LPSI,Skeleton:LPSI,Skeleton:LPSI,Skeleton:LTHI,Skeleton:LTHI,Skeleton:LTHI,Skeleton:LTIB,Skeleton:LTIB,Skeleton:LTIB,Skeleton:LTOE,Skeleton:LTOE,Skeleton:LTOE,Skeleton:RANK,Skeleton:RANK,Skeleton:RANK,Skeleton:RASI,Skeleton:RASI,Skeleton:RASI,Skeleton:RHEE,Skeleton:RHEE,Skeleton:RHEE,Skeleton:RKNE,Skeleton:RKNE,Skeleton:RKNE,Skeleton:RPSI,Skeleton:RPSI,Skeleton:RPSI,Skeleton:RTHI,Skeleton:RTHI,Skeleton:RTHI,Skeleton:RTIB,Skeleton:RTIB,Skeleton:RTIB,Skeleton:RTOE,Skeleton:RTOE,Skeleton:RTOE
,ID,"4B9DEC2713F711EEAF36E19734FCBCA0","4B9DEC2713F711EEAF36E19734FCBCA0","4B9DEC2713F711EEAF36E19734FCBCA0","4B9DEC2E13F711EEAF36E19734FCBCA0","4B9DEC2E13F711EEAF36E19734FCBCA0","4B9DEC2E13F711EEAF36E19734FCBCA0","4B9DEC2413F711EEAF36E19734FCBCA0","4B9DEC2413F711EEAF36E19734FCBCA0","4B9DEC2413F711EEAF36E19734FCBCA0","4B9DEC2813F711EEAF36E19734FCBCA0","4B9DEC2813F711EEAF36E19734FCBCA0","4B9DEC2813F711EEAF36E19734FCBCA0","4B9DEC2B13F711EEAF36E19734FCBCA0","4B9DEC2B13F711EEAF36E19734FCBCA0","4B9DEC2B13F711EEAF36E19734FCBCA0","4B9DEC2913F711EEAF36E19734FCBCA0","4B9DEC2913F711EEAF36E19734FCBCA0","4B9DEC2913F711EEAF36E19734FCBCA0","4B9DEC2A13F711EEAF36E19734FCBCA0","4B9DEC2A13F711EEAF36E19734FCBCA0","4B9DEC2A13F711EEAF36E19734FCBCA0","4B9DEC2313F711EEAF36E19734FCBCA0","4B9DEC2313F711EEAF36E19734FCBCA0","4B9DEC2313F711EEAF36E19734FCBCA0","4B9DEC2613F711EEAF36E19734FCBCA0","4B9DEC2613F711EEAF36E19734FCBCA0","4B9DEC2613F711EEAF36E19734FCBCA0","4B9DEC2D13F711EEAF36E19734FCBCA0","4B9DEC2D13F711EEAF36E19734FCBCA0","4B9DEC2D13F711EEAF36E19734FCBCA0","4B9DEC2513F711EEAF36E19734FCBCA0","4B9DEC2513F711EEAF36E19734FCBCA0","4B9DEC2513F711EEAF36E19734FCBCA0","4B9DEC2113F711EEAF36E19734FCBCA0","4B9DEC2113F711EEAF36E19734FCBCA0","4B9DEC2113F711EEAF36E19734FCBCA0","4B9DEC2C13F711EEAF36E19734FCBCA0","4B9DEC2C13F711EEAF36E19734FCBCA0","4B9DEC2C13F711EEAF36E19734FCBCA0","4B9DEC1F13F711EEAF36E19734FCBCA0","4B9DEC1F13F711EEAF36E19734FCBCA0","4B9DEC1F13F711EEAF36E19734FCBCA0","4B9DEC2013F711EEAF36E19734FCBCA0","4B9DEC2013F711EEAF36E19734FCBCA0","4B9DEC2013F711EEAF36E19734FCBCA0","4B9DEC2213F711EEAF36E19734FCBCA0","4B9DEC2213F711EEAF36E19734FCBCA0","4B9DEC2213F711EEAF36E19734FCBCA0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.335619,0.084711,0.728922,0.171248,0.982703,0.648005,0.361953,0.082257,0.667426,0.284547,0.513496,0.695824,0.356266,0.989444,0.558356,0.278296,0.592862,0.688923,0.307587,0.426384,0.707828,0.197282,0.051103,0.758366,0.340108,0.077210,0.291333,0.166552,0.972581,0.374195,0.368966,0.079182,0.349240,0.275591,0.514591,0.311198,0.359237,0.985937,0.451724,0.266408,0.616373,0.308255,0.305104,0.377179,0.289486,0.179282,0.041369,0.274847
1,0.010000,0.335613,0.084687,0.728854,0.171291,0.982764,0.648161,0.361910,0.082253,0.667347,0.284513,0.513485,0.695832,0.356213,0.989439,0.558241,0.278270,0.592842,0.688901,0.307546,0.426380,0.707804,0.197276,0.051123,0.758398,0.340070,0.077203,0.291336,0.166316,0.972538,0.374239,0.368951,0.079167,0.349197,0.275431,0.514573,0.311232,0.358248,0.985330,0.451957,0.266198,0.616340,0.308289,0.304949,0.377147,0.289484,0.179276,0.041417,0.274891
2,0.020000,0.335587,0.084706,0.728803,0.171275,0.982800,0.648246,0.361825,0.082252,0.667253,0.284439,0.513484,0.695832,0.356196,0.989469,0.558072,0.278187,0.592817,0.688898,0.307472,0.426388,0.707796,0.197266,0.051129,0.758426,0.340028,0.077222,0.291329,0.166084,0.972498,0.374286,0.368970,0.079154,0.349173,0.275241,0.514549,0.311242,0.358075,0.985319,0.451855,0.265984,0.616303,0.308286,0.304780,0.377097,0.289452,0.179281,0.041420,0.274942
3,0.030000,0.335540,0.084708,0.728729,0.171252,0.982813,0.648316,0.361754,0.082313,0.667154,0.284303,0.513459,0.695877,0.356098,0.989479,0.557980,0.278067,0.592813,0.688926,0.307268,0.426290,0.707743,0.197250,0.051140,0.758437,0.339919,0.077265,0.291316,0.165869,0.972448,0.374326,0.368972,0.079141,0.349143,0.275076,0.514514,0.311244,0.357893,0.985329,0.451719,0.265744,0.616304,0.308281,0.304600,0.377044,0.289384,0.179307,0.041520,0.274988
4,0.040000,0.335485,0.084730,0.728678,0.171178,0.982862,0.648376,0.361669,0.082349,0.667071,0.284168,0.513470,0.695924,0.355982,0.989506,0.557900,0.277906,0.592761,0.689005,0.307073,0.426289,0.707742,0.197219,0.051145,0.758462,0.339803,0.077292,0.291285,0.165646,0.972388,0.374387,0.368905,0.079143,0.349173,0.274918,0.514480,0.311249,0.357686,0.985338,0.451618,0.265521,0.616270,0.308254,0.304356,0.376912,0.289407,0.179379,0.041619,0.275059
5,0.050000,0.335438,0.084724,0.728623,0.170902,0.982897,0.648521,0.361607,0.082388,0.666996,0.283903,0.513387,0.695986,0.355779,0.989550,0.557844,0.277727,0.592744,0.689110,0.306910,0.426273,0.707766,0.197191,0.051146,0.758478,0.339605,0.077279,0.291261,0.165409,0.972312,0.374445,0.368851,0.079146,0.349196,0.274762,0.514436,0.311251,0.357528,0.985363,0.451571,0.265334,0.616213,0.308250,0.304072,0.376765,0.289428,0.179395,0.041774,0.275138
